count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,31,null,[],1,5,34020000,34020000,['31'],"[0, 0, 1, 0]","[1, 0, 0, 0]",[1],"[-1.0, 0.0, 1.0, 0.0]"
5,24,null,[],5,9,34162900,34182600,"['31', '24']","[0, 5, 0, 0]","[0, 0, 0, 5]","[0, 5]","[-1.0, 1.0, 1.0, -1.0]"
32,23,null,[],14,19,34211500,34426200,"['31', '24', '23']","[0, 32, 0, 0]","[0, 0, 1, 31]","[0, 31, 1]","[-2.0, 3.0, 0.0, -1.0]"
13,13,13,[],12,19,34584300,34614400,"['13', '24', '23']","[2, 11, 0, 0]","[0, 0, 4, 9]","[2, 9, 2]","[1.1102230246251565e-16, 2.3333333333333335, -1.333333333333333, -1.0]"
56,21,null,[],16,20,34615400,35619100,"['13', '24', '23', '21']","[7, 49, 0, 0]","[1, 0, 7, 48]","[7, 48, 0, 1]","[-0.3000000000000001, 4.0, -2.7, -1.0]"
22,34,null,[],29,8,35804100,36360800,"['13', '24', '23', '21', '34']","[9, 5, 8, 0]","[0, 0, 14, 8]","[9, 0, 5, 0, 8]","[0.7894736842105262, 5.0, -1.8421052631578947, -3.9473684210526314]"
3,14,null,[],38,7,36896400,36899300,"['13', '24', '23', '21', '34', '14']","[3, 0, 0, 0]","[0, 0, 0, 3]","[0, 0, 0, 0, 0, 3]","[1.789473684210526, 6.0, -1.789473684210526, -6.0]"
11,12,12,[],38,1,38001100,54759100,"['13', '24', '23', '12', '34', '14']","[7, 1, 3, 0]","[0, 2, 1, 8]","[0, 0, 1, 2, 3, 5]","[4.456140350877192, 3.333333333333333, -1.789473684210526, -6.0]"
12,42,42,"[['23', '34', '42']]",39,2,55455400,118102000,"['13', '42', '23', '12', '34', '14']","[5, 0, 6, 1]","[0, 1, 0, 11]","[0, 1, 0, 0, 6, 5]","[4.456140350877192, 3.2907801418439715, -1.789473684210526, -5.957446808510638]"
133,24,24,[],38,1,118103500,123785900,"['13', '24', '23', '12', '34', '14']","[16, 53, 64, 0]","[0, 1, 9, 123]","[0, 44, 9, 1, 64, 15]","[4.7894736842105265, 2.971014492753623, -1.7894736842105263, -5.971014492753623]"
35,21,21,[],38,7,124070400,129732800,"['13', '24', '23', '21', '34', '14']","[7, 15, 13, 0]","[1, 0, 6, 28]","[2, 10, 4, 1, 13, 5]","[4.209523809523809, 3.572972972972973, -1.8095238095238095, -5.972972972972973]"
87,12,12,[],38,1,130115700,138946300,"['13', '24', '23', '12', '34', '14']","[45, 20, 22, 0]","[0, 2, 10, 75]","[1, 11, 9, 2, 22, 42]","[4.675324675324675, 3.1176999101527407, -1.8181818181818183, -5.974842767295598]"
