start,end,count,Attacker,Victim,1,2,3,4
34020000,34020000,1,3,1,-1.0,0.0,1.0,0.0
34162900,34182600,5,2,4,-1.0,1.0,1.0,-1.0
34211500,34211500,1,2,3,-2.0,3.0,0.0,-1.0
34219900,34426200,31,2,4,-2.0,3.0,0.0,-1.0
34584300,34588000,2,1,3,1.1102230246251565e-16,2.3333333333333335,-1.333333333333333,-1.0
34590800,34592400,2,2,3,1.1102230246251565e-16,2.3333333333333335,-1.333333333333333,-1.0
34602000,34614400,9,2,4,1.1102230246251565e-16,2.3333333333333335,-1.333333333333333,-1.0
34615400,34615400,1,2,1,-0.9999999999999999,4.0,-1.9999999999999998,-1.0
34626700,34676400,11,2,4,-0.9999999999999999,4.0,-1.9999999999999998,-1.0
35281200,35451800,2,1,3,-0.5999999999999999,4.0,-2.4,-1.0
35463900,35495300,20,2,4,-0.5999999999999999,4.0,-2.4,-1.0
35557800,35562300,5,1,3,-0.3000000000000001,4.0,-2.7,-1.0
35569200,35619100,17,2,4,-0.3000000000000001,4.0,-2.7,-1.0
35804100,35804100,1,3,4,0.6000000000000001,5.0,-1.6999999999999997,-3.9
35898300,36097100,3,2,3,0.6000000000000001,5.0,-1.6999999999999997,-3.9
36105800,36108400,3,1,3,0.6923076923076924,5.0,-1.7692307692307694,-3.9230769230769234
36110200,36114000,2,2,3,0.6923076923076924,5.0,-1.7692307692307694,-3.9230769230769234
36123700,36127000,4,1,3,0.7647058823529411,5.0,-1.8235294117647058,-3.9411764705882355
36186600,36188500,2,3,4,0.7647058823529411,5.0,-1.8235294117647058,-3.9411764705882355
36259100,36261800,2,1,3,0.7894736842105262,5.0,-1.8421052631578947,-3.9473684210526314
36348600,36360800,5,3,4,0.7894736842105262,5.0,-1.8421052631578947,-3.9473684210526314
36896400,36899300,3,1,4,1.789473684210526,6.0,-1.789473684210526,-6.0
38001100,38001100,1,1,2,3.789473684210526,4.0,-1.789473684210526,-6.0
38374100,38374100,1,2,3,3.789473684210526,4.0,-1.789473684210526,-6.0
38512600,38512600,1,1,2,4.456140350877192,3.333333333333333,-1.789473684210526,-6.0
47273100,47273100,1,3,4,4.456140350877192,3.333333333333333,-1.789473684210526,-6.0
48079300,48220500,2,1,4,4.456140350877192,3.333333333333333,-1.789473684210526,-6.0
48279900,48297100,2,3,4,4.456140350877192,3.333333333333333,-1.789473684210526,-6.0
50154400,54759100,3,1,4,4.456140350877192,3.333333333333333,-1.789473684210526,-6.0
55455400,55455400,1,4,2,4.456140350877192,3.2907801418439715,-1.789473684210526,-5.957446808510638
117979200,117991000,3,3,4,4.456140350877192,3.2907801418439715,-1.789473684210526,-5.957446808510638
118005000,118005000,1,1,4,4.456140350877192,3.2907801418439715,-1.789473684210526,-5.957446808510638
118010300,118043500,3,3,4,4.456140350877192,3.2907801418439715,-1.789473684210526,-5.957446808510638
118083700,118102000,4,1,4,4.456140350877192,3.2907801418439715,-1.789473684210526,-5.957446808510638
118103500,118192000,23,2,4,4.456140350877192,3.2991452991452985,-1.789473684210526,-5.965811965811966
118193500,118194400,2,2,3,4.456140350877192,3.2991452991452985,-1.789473684210526,-5.965811965811966
118197100,118218200,9,2,4,4.456140350877192,3.3015873015873014,-1.789473684210526,-5.968253968253968
118440700,118450800,3,3,4,4.456140350877192,3.3015873015873014,-1.789473684210526,-5.968253968253968
118457900,118457900,1,1,4,4.456140350877192,3.3015873015873014,-1.789473684210526,-5.968253968253968
118459600,118488900,3,2,4,4.456140350877192,3.3023255813953485,-1.789473684210526,-5.9689922480620154
118603000,118603000,1,3,4,4.456140350877192,3.3023255813953485,-1.789473684210526,-5.9689922480620154
118605000,118605000,1,2,4,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118612600,118613200,2,3,4,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118663600,118670300,3,1,4,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118676500,118676500,1,2,3,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118683700,118683700,1,1,4,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118713000,118965500,5,3,4,4.456140350877192,3.302564102564102,-1.789473684210526,-5.969230769230769
118996500,119007300,3,2,4,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
119009700,119009700,1,1,4,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
119342200,120846700,19,3,4,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
121030400,121162900,2,1,4,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
121185300,121738900,18,3,4,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
121973800,122123000,2,2,3,4.456140350877193,3.3032581453634084,-1.789473684210526,-5.969924812030076
122189200,122193000,3,2,4,4.456140350877193,3.3039215686274512,-1.789473684210526,-5.970588235294118
122244900,122246200,2,3,4,4.456140350877193,3.3039215686274512,-1.789473684210526,-5.970588235294118
122314400,122314400,1,2,4,4.456140350877192,3.3041362530413623,-1.789473684210526,-5.97080291970803
122347000,122403600,3,1,4,4.456140350877192,3.3041362530413623,-1.789473684210526,-5.97080291970803
122433400,122434600,2,3,4,4.456140350877192,3.3041362530413623,-1.789473684210526,-5.97080291970803
122518200,122518200,1,1,2,4.789473684210526,2.9708029197080292,-1.789473684210526,-5.97080291970803
122521500,122521500,1,2,3,4.789473684210526,2.9708029197080292,-1.789473684210526,-5.97080291970803
122523800,122523800,1,2,4,4.7894736842105265,2.971014492753623,-1.7894736842105263,-5.971014492753623
122600100,122612600,3,2,3,4.7894736842105265,2.971014492753623,-1.7894736842105263,-5.971014492753623
122641000,122641000,1,1,4,4.7894736842105265,2.971014492753623,-1.7894736842105263,-5.971014492753623
122698500,123068200,12,3,4,4.7894736842105265,2.971014492753623,-1.7894736842105263,-5.971014492753623
123757900,123785900,3,1,4,4.7894736842105265,2.971014492753623,-1.7894736842105263,-5.971014492753623
124070400,124070400,1,2,1,4.189473684210527,3.5710144927536223,-1.789473684210526,-5.971014492753623
124855900,124954700,5,3,4,4.189473684210527,3.5710144927536223,-1.789473684210526,-5.971014492753623
126129600,126129600,1,1,3,4.199999999999999,3.5710144927536227,-1.7999999999999998,-5.971014492753623
