count,intransitive,stateMatch,start,end,states,idxs
2,[],1,34559200,34586200,['12'],"[1, 2]"
3,[],4,34683300,34694700,"['21', '31']",[3]
1,[],3,34699500,34699500,"['12', '31']",[4]
2,[],4,34701400,34707600,"['21', '31']",[5]
1,[],3,34710100,34710100,"['12', '31']",[6]
1,[],4,34714000,34714000,"['21', '31']",[7]
1,[],3,34714000,34714000,"['12', '31']",[8]
2,[],4,34725300,34726600,"['21', '31']",[9]
1,[],3,34730500,34730500,"['12', '31']",[10]
1,[],4,34736800,34736800,"['21', '31']",[11]
7,[],12,34755700,35419200,"['12', '13', '42']",[12]
1,[],14,35794600,35794600,"['12', '13', '24']",[13]
4,[],12,38060200,38875600,"['12', '13', '42']",[14]
1,[],16,40150500,40150500,"['12', '13', '14', '43']",[15]
1,[],17,40153600,40153600,"['12', '13', '41', '43']",[16]
3,[],16,40158500,44058200,"['12', '13', '14', '43']",[17]
5,[],29,44072500,44116700,"['12', '13', '14', '24', '43']",[18]
18,[],38,44311400,49417100,"['12', '13', '14', '23', '24', '43']","[19, 20]"
3,"[['13', '21', '32']]",40,50524200,50539000,"['12', '13', '23', '24', '41', '43']",[21]
37,[],38,50609500,119090100,"['12', '13', '14', '23', '24', '43']","[22, 23, 24, 25]"
1,"[['23', '34', '42']]",39,119094000,119094000,"['12', '13', '14', '24', '32', '43']",[26]
3,[],38,119143300,119146200,"['12', '13', '14', '23', '24', '43']",[27]
8,"[['23', '34', '42']]",39,119150100,122264800,"['12', '13', '14', '24', '32', '43']",[28]
1,[],38,122267200,122267200,"['12', '13', '14', '23', '24', '43']",[29]
2,"[['23', '34', '42']]",39,122269400,122358400,"['12', '13', '14', '24', '32', '43']",[30]
252,[],38,122745200,141892100,"['12', '13', '14', '23', '24', '43']","[31, 32, 33, 34, 35]"
