count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,32,null,[],1,9,34983200,34983200,['32'],"[0, 0, 1, 0]","[0, 1, 0, 0]",[1],"[0.0, -1.0, 1.0, 0.0]"
1,12,null,[],4,4,35035400,35035400,"['32', '12']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[1.0, -2.0, 1.0, 0.0]"
1,14,null,[],12,2,35107900,35107900,"['32', '12', '14']","[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 1]","[2.0, -2.0, 1.0, -1.0]"
1,42,null,[],22,19,35183700,35183700,"['32', '12', '14', '42']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1]","[3.0, -4.0, 1.0, 0.0]"
1,21,21,"[['14', '21', '42']]",23,19,35199200,35199200,"['32', '21', '14', '42']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 1, 0, 0]","[1.0, -2.5, 1.5, 0.0]"
11,13,null,"[['14', '21', '42'], ['13', '21', '32']]",36,3,35206100,35646000,"['32', '21', '14', '42', '13']","[11, 0, 0, 0]","[0, 0, 2, 9]","[0, 0, 9, 0, 2]","[3.0, -3.0, 0.0, 0.0]"
1,34,null,"[['14', '21', '42'], ['13', '21', '32']]",41,21,35649700,35649700,"['32', '21', '14', '42', '13', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[4.0, -4.0, 2.0, -2.0]"
1,31,31,"[['14', '21', '42']]",39,5,35659100,35659100,"['32', '21', '14', '42', '31', '34']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 1, 0]","[2.666666666666666, -4.0, 3.3333333333333335, -2.0]"
5,13,13,"[['14', '21', '42'], ['13', '21', '32']]",41,21,35699000,35916100,"['32', '21', '14', '42', '13', '34']","[4, 0, 0, 1]","[0, 1, 1, 3]","[0, 0, 3, 1, 1, 0]","[3.0, -4.0, 3.0, -2.0]"
2,24,24,"[['13', '21', '32']]",40,5,35918900,35921000,"['32', '21', '14', '24', '13', '34']","[0, 2, 0, 0]","[0, 0, 0, 2]","[0, 0, 0, 2, 0, 0]","[3.0, -2.0, 3.0, -4.0]"
4,23,23,[],38,7,36151300,36264200,"['23', '21', '14', '24', '13', '34']","[3, 1, 0, 0]","[0, 0, 1, 3]","[1, 0, 3, 0, 0, 0]","[3.0, 0.0, 1.0, -4.0]"
17,32,32,"[['13', '21', '32']]",40,5,36462000,38807100,"['32', '21', '14', '24', '13', '34']","[4, 7, 6, 0]","[0, 1, 2, 14]","[1, 0, 2, 7, 2, 5]","[3.333333333333333, 0.6060606060606055, 1.3333333333333333, -5.272727272727273]"
2,12,12,[],38,3,39355900,39590800,"['32', '12', '14', '24', '13', '34']","[2, 0, 0, 0]","[0, 2, 0, 0]","[0, 2, 0, 0, 0, 0]","[4.333333333333332, -0.3939393939393938, 1.3333333333333333, -5.2727272727272725]"
4,21,21,"[['13', '21', '32']]",40,5,39596500,39641000,"['32', '21', '14', '24', '13', '34']","[0, 4, 0, 0]","[4, 0, 0, 0]","[0, 4, 0, 0, 0, 0]","[2.833333333333333, 1.106060606060606, 1.3333333333333333, -5.272727272727273]"
3,12,12,[],38,3,39647100,39740800,"['32', '12', '14', '24', '13', '34']","[2, 0, 1, 0]","[0, 3, 0, 0]","[1, 2, 0, 0, 0, 0]","[3.3333333333333335, 0.2727272727272727, 1.6666666666666667, -5.272727272727273]"
3,23,23,[],38,1,39744100,42004000,"['23', '12', '14', '24', '13', '34']","[1, 2, 0, 0]","[0, 0, 2, 1]","[2, 0, 1, 0, 0, 0]","[3.333333333333333, 1.272727272727273, 0.6666666666666661, -5.272727272727273]"
1,32,32,[],38,3,42150900,42150900,"['32', '12', '14', '24', '13', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.333333333333333, 0.9870129870129871, 0.9523809523809526, -5.272727272727273]"
275,23,23,[],38,1,42154200,146691100,"['23', '12', '14', '24', '13', '34']","[209, 37, 29, 0]","[0, 25, 109, 141]","[13, 25, 88, 24, 96, 29]","[5.389355742296917, 1.5428571428571425, -1.1607843137254903, -5.771428571428571]"
8,42,42,"[['23', '34', '42']]",39,2,146742500,146967500,"['23', '12', '14', '42', '13', '34']","[3, 0, 0, 5]","[0, 5, 0, 3]","[0, 0, 3, 5, 0, 0]","[5.389355742296918, 1.0714285714285714, -1.1607843137254903, -5.300000000000001]"
25,24,24,[],38,1,146987200,149183500,"['23', '12', '14', '24', '13', '34']","[14, 5, 6, 0]","[0, 3, 3, 19]","[1, 3, 9, 4, 2, 6]","[5.435222672064778, 1.1280473912052862, -1.1996336996336998, -5.363636363636364]"
16,42,42,"[['23', '34', '42']]",39,2,149322900,150838700,"['23', '12', '14', '42', '13', '34']","[12, 0, 2, 2]","[0, 2, 4, 10]","[0, 0, 8, 2, 4, 2]","[5.436647173489279, 0.9818023319167484, -1.201058201058201, -5.217391304347826]"
