count,intransitive,stateMatch,start,end,states,idxs
1,[],1,73000,73000,['12'],[1]
2,[],5,123000,125000,"['12', '34']","[2, 3]"
1,[],14,128000,128000,"['12', '13', '24']",[4]
1,[],18,133000,133000,"['12', '31', '41', '43']",[5]
4,[],31,136000,196000,"['13', '14', '21', '24', '43']",[6]
4,"[['12', '24', '41']]",34,207000,233000,"['13', '14', '21', '42', '43']",[7]
3,"[['12', '24', '41']]",40,239000,249000,"['12', '13', '23', '24', '41', '43']",[8]
1,[],38,253000,253000,"['12', '13', '14', '23', '24', '43']",[9]
4,"[['12', '24', '41']]",40,256000,264000,"['12', '13', '23', '24', '41', '43']",[10]
9,"[['12', '24', '41'], ['24', '32', '43']]",41,315000,2783000,"['12', '13', '24', '32', '41', '43']","[11, 12, 13, 14]"
6,"[['24', '32', '43']]",40,3090000,4474000,"['12', '13', '23', '24', '41', '43']",[15]
1,[],38,4639000,4639000,"['12', '13', '14', '23', '24', '43']",[16]
1,"[['24', '32', '43']]",40,4643000,4643000,"['12', '13', '23', '24', '41', '43']",[17]
26,[],38,4651000,8122000,"['12', '13', '14', '23', '24', '43']","[18, 19, 20, 21, 22, 23]"
1,"[['23', '34', '42']]",40,8179000,8179000,"['12', '13', '23', '24', '41', '43']",[24]
7,"[['23', '34', '42'], ['14', '21', '42']]",41,8185000,8762000,"['12', '13', '24', '32', '41', '43']","[25, 26]"
50,[],38,8763000,11556000,"['12', '13', '14', '23', '24', '43']","[27, 28, 29, 30, 31, 32, 33, 34]"
1,"[['14', '21', '42']]",40,11560000,11560000,"['12', '13', '23', '24', '41', '43']",[35]
210,[],38,11603000,13055000,"['12', '13', '14', '23', '24', '43']","[36, 37, 38, 39, 40]"
1,"[['12', '23', '31']]",40,13201000,13201000,"['12', '13', '23', '24', '41', '43']",[41]
26,[],38,13211000,13444000,"['12', '13', '14', '23', '24', '43']","[42, 43, 44, 45, 46, 47]"
3,"[['24', '32', '43']]",39,13453000,13608000,"['12', '13', '14', '24', '32', '43']",[48]
71,[],38,13609000,14017000,"['12', '13', '14', '23', '24', '43']","[49, 50, 51, 52, 53, 54, 55, 56, 57]"
4,"[['14', '21', '42']]",39,14021000,14038000,"['12', '13', '14', '24', '32', '43']",[58]
33,[],38,14045000,14196000,"['12', '13', '14', '23', '24', '43']","[59, 60]"
6,"[['14', '21', '42'], ['13', '21', '32']]",41,14197000,14212000,"['12', '13', '24', '32', '41', '43']",[61]
372,[],38,14219000,16479000,"['12', '13', '14', '23', '24', '43']","[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]"
3,"[['24', '32', '43']]",39,16482000,16503000,"['12', '13', '14', '24', '32', '43']",[80]
166,[],38,16508000,17760000,"['12', '13', '14', '23', '24', '43']","[81, 82, 83, 84, 85, 86, 87, 88]"
1,"[['23', '34', '42']]",39,17761000,17761000,"['12', '13', '14', '24', '32', '43']",[89]
33,[],38,17814000,18220000,"['12', '13', '14', '23', '24', '43']","[90, 91]"
3,"[['12', '24', '41']]",40,18231000,18260000,"['12', '13', '23', '24', '41', '43']",[92]
101,[],38,18301000,19330000,"['12', '13', '14', '23', '24', '43']","[93, 94, 95, 96, 97, 98, 99]"
16,"[['24', '32', '43']]",39,19334000,19479000,"['12', '13', '14', '24', '32', '43']",[100]
177,[],38,19482000,20897000,"['12', '13', '14', '23', '24', '43']","[101, 102, 103, 104, 105, 106, 107, 108]"
1,"[['12', '23', '31']]",40,20899000,20899000,"['12', '13', '23', '24', '41', '43']",[109]
