count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
3,12,null,[],1,1,1576000,1932000,['12'],"[3, 0, 0, 0]","[0, 3, 0, 0]",[3],"[1.0, -1.0, 0.0, 0.0]"
7,14,null,[],2,2,2814000,2843000,"['12', '14']","[7, 0, 0, 0]","[0, 0, 0, 7]","[0, 7]","[2.0, -1.0, 0.0, -1.0]"
14,13,null,[],6,1,2854000,2974000,"['12', '14', '13']","[14, 0, 0, 0]","[0, 1, 6, 7]","[1, 7, 6]","[3.0, -1.0, -1.0, -1.0]"
5,43,null,[],16,1,2978000,2984000,"['12', '14', '13', '43']","[4, 0, 0, 1]","[0, 1, 3, 1]","[1, 1, 2, 1]","[4.0, -1.0, -3.0, 0.0]"
4,42,null,[],28,1,3007000,3026000,"['12', '14', '13', '43', '42']","[1, 0, 0, 3]","[0, 3, 1, 0]","[1, 0, 0, 1, 2]","[5.0, -3.0, -3.0, 1.0]"
1,24,24,[],29,1,3068000,3068000,"['12', '14', '13', '43', '24']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 1]","[5.0, -1.6666666666666665, -3.333333333333333, 1.1102230246251565e-16]"
15,42,42,[],28,1,3070000,3187000,"['12', '14', '13', '43', '42']","[13, 0, 0, 2]","[0, 8, 3, 4]","[6, 4, 3, 0, 2]","[5.0, -2.2, -3.2, 0.39999999999999997]"
3,21,21,"[['14', '21', '42']]",34,1,3190000,3196000,"['21', '14', '13', '43', '42']","[2, 1, 0, 0]","[1, 0, 0, 2]","[1, 2, 0, 0, 0]","[4.769230769230769, -1.8923076923076922, -3.276923076923077, 0.4000000000000002]"
3,12,12,[],28,1,3199000,3325000,"['12', '14', '13', '43', '42']","[3, 0, 0, 0]","[0, 1, 1, 1]","[1, 1, 1, 0, 0]","[4.7857142857142865, -1.9142857142857141, -3.2714285714285714, 0.40000000000000024]"
2,23,null,[],38,4,3421000,3423000,"['12', '14', '13', '43', '42', '23']","[0, 2, 0, 0]","[0, 0, 2, 0]","[0, 0, 0, 0, 0, 2]","[5.714285714285715, -0.9142857142857144, -6.0, 1.2000000000000002]"
