count,intransitive,stateMatch,start,end,states,idxs
1,[],1,1448000,1448000,['12'],[1]
3,[],2,1460000,1474000,"['12', '13']",[2]
1,[],3,1475000,1475000,"['12', '31']",[3]
9,[],7,1484000,1684000,"['12', '13', '41']",[4]
1,[],6,1692000,1692000,"['12', '13', '14']",[5]
1,[],7,1725000,1725000,"['12', '13', '41']",[6]
2,[],6,1726000,1787000,"['12', '13', '14']",[7]
2,[],7,1877000,2083000,"['12', '13', '41']",[8]
9,[],6,2097000,2991000,"['12', '13', '14']",[9]
12,[],16,3167000,3892000,"['12', '13', '14', '43']",[10]
27,[],30,4046000,5580000,"['12', '13', '14', '24', '34']",[11]
305,[],38,5589000,33620000,"['12', '13', '14', '23', '24', '43']","[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
1,"[['12', '23', '31']]",40,33657000,33657000,"['12', '13', '23', '24', '41', '43']",[31]
8,[],38,33663000,33809000,"['12', '13', '14', '23', '24', '43']",[32]
1,"[['12', '23', '31']]",40,33962000,33962000,"['12', '13', '23', '24', '41', '43']",[33]
3,[],38,33965000,33978000,"['12', '13', '14', '23', '24', '43']",[34]
3,"[['12', '23', '31']]",40,34131000,34171000,"['12', '13', '23', '24', '41', '43']",[35]
1,[],38,34172000,34172000,"['12', '13', '14', '23', '24', '43']",[36]
2,"[['12', '23', '31']]",40,34181000,34509000,"['12', '13', '23', '24', '41', '43']",[37]
14,[],38,34513000,35728000,"['12', '13', '14', '23', '24', '43']",[38]
18,"[['12', '23', '31']]",40,35768000,37142000,"['12', '13', '23', '24', '41', '43']",[39]
42,[],38,37143000,40593000,"['12', '13', '14', '23', '24', '43']","[40, 41, 42, 43]"
1,"[['13', '21', '32']]",40,40598000,40598000,"['12', '13', '23', '24', '41', '43']",[44]
129,[],38,40600000,135759000,"['12', '13', '14', '23', '24', '43']","[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]"
