count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
2,14,null,[],1,3,463000.0,466000.0,['14'],"[2, 0, 0, 0]","[0, 0, 0, 2]",[2],"[1.0, 0.0, 0.0, -1.0]"
6,12,null,[],2,2,471000.0,1081000.0,"['14', '12']","[6, 0, 0, 0]","[0, 3, 0, 3]","[3, 3]","[2.0, -1.0, 0.0, -1.0]"
45,13,null,[],6,1,1085000.0,2307000.0,"['14', '12', '13']","[45, 0, 0, 0]","[0, 14, 18, 13]","[13, 14, 18]","[3.0, -1.0, -1.0, -1.0]"
166,32,null,[],16,4,2311000.0,11355000.0,"['14', '12', '13', '32']","[164, 0, 2, 0]","[0, 19, 104, 43]","[43, 17, 104, 2]","[4.0, -3.0, 0.0, -1.0]"
170,34,null,[],28,2,11358000.0,20644000.0,"['14', '12', '13', '32', '34']","[168, 0, 2, 0]","[0, 19, 74, 77]","[75, 19, 74, 0, 2]","[5.0, -3.0, 1.0, -3.0]"
60,24,null,[],38,3,20795000.0,25459000.0,"['14', '12', '13', '32', '34', '24']","[59, 1, 0, 0]","[0, 18, 29, 13]","[12, 18, 29, 0, 0, 1]","[6.0, -2.0, 2.0, -6.0]"
9,42,42,[],38,5,25697000.0,25846000.0,"['14', '12', '13', '32', '34', '42']","[8, 0, 0, 1]","[0, 4, 4, 1]","[1, 3, 4, 0, 0, 1]","[6.0, -4.0, 2.0, -4.0]"
9,21,21,"[['14', '21', '42'], ['13', '21', '32']]",41,21,26014000.0,26604000.0,"['14', '21', '13', '32', '34', '42']","[6, 3, 0, 0]","[3, 0, 2, 4]","[4, 3, 2, 0, 0, 0]","[5.844155844155844, -3.8441558441558445, 2.0, -4.0]"
29,12,12,[],38,5,26694000.0,27841000.0,"['14', '12', '13', '32', '34', '42']","[26, 0, 1, 2]","[0, 11, 14, 4]","[3, 9, 14, 0, 1, 2]","[5.8604651162790695, -4.8604651162790695, 2.0, -3.0]"
2,21,21,"[['14', '21', '42'], ['13', '21', '32']]",41,21,27883000.0,27886000.0,"['14', '21', '13', '32', '34', '42']","[0, 2, 0, 0]","[2, 0, 0, 0]","[0, 2, 0, 0, 0, 0]","[5.772727272727273, -4.772727272727273, 1.9999999999999998, -3.0]"
2,24,24,"[['13', '21', '32']]",40,5,27889000.0,27890000.0,"['14', '21', '13', '32', '34', '24']","[0, 2, 0, 0]","[0, 0, 0, 2]","[0, 0, 0, 0, 0, 2]","[5.7727272727272725, -3.772727272727273, 1.9999999999999998, -4.0]"
3,12,12,[],38,3,27897000.0,27925000.0,"['14', '12', '13', '32', '34', '24']","[3, 0, 0, 0]","[0, 2, 1, 0]","[0, 2, 1, 0, 0, 0]","[5.777777777777779, -3.7777777777777777, 1.9999999999999998, -4.0]"
15,21,21,"[['13', '21', '32']]",40,5,28061000.0,28378000.0,"['14', '21', '13', '32', '34', '24']","[12, 3, 0, 0]","[3, 0, 12, 0]","[0, 3, 12, 0, 0, 0]","[5.655913978494624, -3.6559139784946235, 2.0, -4.0]"
2,12,12,[],38,3,28379000.0,28405000.0,"['14', '12', '13', '32', '34', '24']","[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 1, 0, 0, 1, 0]","[5.659574468085107, -3.6595744680851063, 2.0, -4.0]"
21,21,21,"[['13', '21', '32']]",40,5,28519000.0,29439000.0,"['14', '21', '13', '32', '34', '24']","[16, 5, 0, 0]","[5, 0, 7, 9]","[9, 5, 7, 0, 0, 0]","[5.474747474747474, -3.474747474747475, 2.0, -4.0]"
28,12,12,[],38,3,29498000.0,30982000.0,"['14', '12', '13', '32', '34', '24']","[27, 0, 1, 0]","[0, 13, 10, 5]","[4, 13, 10, 0, 1, 0]","[5.535714285714285, -3.535714285714285, 2.0000000000000004, -4.0]"
1,21,21,"[['13', '21', '32']]",40,5,31010000.0,31010000.0,"['14', '21', '13', '32', '34', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[5.504424778761062, -3.504424778761062, 1.9999999999999998, -4.0]"
1,12,12,[],38,3,31018000.0,31018000.0,"['14', '12', '13', '32', '34', '24']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[5.508771929824561, -3.5087719298245617, 2.0, -4.0]"
6,21,21,"[['13', '21', '32']]",40,5,31125000.0,31971000.0,"['14', '21', '13', '32', '34', '24']","[2, 4, 0, 0]","[2, 0, 1, 3]","[1, 2, 1, 0, 0, 2]","[5.448275862068964, -2.9482758620689653, 2.0000000000000004, -4.5]"
8,12,12,[],38,3,32050000.0,32154000.0,"['14', '12', '13', '32', '34', '24']","[8, 0, 0, 0]","[0, 4, 0, 4]","[4, 4, 0, 0, 0, 0]","[5.466666666666667, -2.966666666666667, 2.0, -4.5]"
2,21,21,"[['13', '21', '32']]",40,5,32194000.0,32299000.0,"['14', '21', '13', '32', '34', '24']","[0, 2, 0, 0]","[2, 0, 0, 0]","[0, 2, 0, 0, 0, 0]","[5.409836065573771, -2.9098360655737707, 2.0, -4.5]"
3,12,12,[],38,3,32300000.0,32314000.0,"['14', '12', '13', '32', '34', '24']","[3, 0, 0, 0]","[0, 3, 0, 0]","[0, 3, 0, 0, 0, 0]","[5.4239999999999995, -2.9239999999999995, 2.0, -4.5]"
1,21,21,"[['13', '21', '32']]",40,5,32332000.0,32332000.0,"['14', '21', '13', '32', '34', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[5.396825396825396, -2.896825396825397, 2.0, -4.5]"
