Time,Attacker,Victim,Attack Type,3,1,4,2
4794000,1,3,C,-1.0,1.0,0.0,0.0
4796000,1,3,C,-1.0,1.0,0.0,0.0
4801000,1,3,F,-1.0,1.0,0.0,0.0
4805000,1,3,F,-1.0,1.0,0.0,0.0
4807000,1,3,S,-1.0,1.0,0.0,0.0
4808000,1,4,F,-1.0,2.0,-1.0,0.0
4812000,1,2,F,-1.0,3.0,-1.0,-1.0
4817000,1,3,S,-1.0,3.0,-1.0,-1.0
4819000,1,3,F,-1.0,3.0,-1.0,-1.0
4823000,1,2,F,-1.0,3.0,-1.0,-1.0
4831000,1,3,F,-1.0,3.0,-1.0,-1.0
4833000,1,3,F,-1.0,3.0,-1.0,-1.0
4834000,1,2,S,-1.0,3.0,-1.0,-1.0
4838000,1,4,F,-1.0,3.0,-1.0,-1.0
4893000,1,4,L,-1.0,3.0,-1.0,-1.0
5405000,1,3,F,-1.0,3.0,-1.0,-1.0
5713000,1,2,F,-1.0,3.0,-1.0,-1.0
5718000,1,3,F,-1.0,3.0,-1.0,-1.0
5721000,1,4,F,-1.0,3.0,-1.0,-1.0
5733000,1,3,F,-1.0,3.0,-1.0,-1.0
5738000,1,2,F,-1.0,3.0,-1.0,-1.0
5740000,1,4,F,-1.0,3.0,-1.0,-1.0
5745000,1,2,F,-1.0,3.0,-1.0,-1.0
5749000,1,2,F,-1.0,3.0,-1.0,-1.0
5770000,1,3,F,-1.0,3.0,-1.0,-1.0
5786000,1,2,F,-1.0,3.0,-1.0,-1.0
5790000,1,3,F,-1.0,3.0,-1.0,-1.0
5793000,1,3,F,-1.0,3.0,-1.0,-1.0
5798000,1,2,F,-1.0,3.0,-1.0,-1.0
5802000,1,3,F,-1.0,3.0,-1.0,-1.0
6478000,1,4,F,-1.0,3.0,-1.0,-1.0
6481000,1,4,F,-1.0,3.0,-1.0,-1.0
6484000,1,2,F,-1.0,3.0,-1.0,-1.0
6486000,1,2,F,-1.0,3.0,-1.0,-1.0
6495000,1,4,S,-1.0,3.0,-1.0,-1.0
6501000,1,4,S,-1.0,3.0,-1.0,-1.0
7612000,1,3,F,-1.0,3.0,-1.0,-1.0
7633000,1,3,F,-1.0,3.0,-1.0,-1.0
7634000,1,2,F,-1.0,3.0,-1.0,-1.0
7635000,1,4,F,-1.0,3.0,-1.0,-1.0
7637000,1,4,F,-1.0,3.0,-1.0,-1.0
7639000,1,4,F,-1.0,3.0,-1.0,-1.0
7640000,1,4,C,-1.0,3.0,-1.0,-1.0
7641000,1,4,F,-1.0,3.0,-1.0,-1.0
