count,intransitive,stateMatch,start,end,states,idxs
2,[],1,16000.0,17000.0,['12'],"[1, 2]"
2,[],2,31000.0,35000.0,"['12', '13']",[3]
1,[],3,36000.0,36000.0,"['12', '23']",[4]
2,[],2,38000.0,41000.0,"['12', '13']",[5]
1,[],3,42000.0,42000.0,"['12', '23']",[6]
4,[],2,43000.0,51000.0,"['12', '13']",[7]
1,[],3,53000.0,53000.0,"['12', '23']",[8]
5,[],2,57000.0,71000.0,"['12', '13']",[9]
1,[],3,72000.0,72000.0,"['12', '23']",[10]
19,[],10,74000.0,132000.0,"['12', '13', '42']","[11, 12, 13, 14, 15, 16]"
2,"[['23', '34', '42']]",11,137000.0,152000.0,"['12', '23', '31']",[17]
1,[],10,153000.0,153000.0,"['12', '13', '42']",[18]
2,"[['23', '34', '42']]",11,154000.0,159000.0,"['12', '23', '31']",[19]
13,[],10,172000.0,243000.0,"['12', '13', '42']","[20, 21]"
1,"[['24', '32', '43']]",11,246000.0,246000.0,"['12', '23', '31']",[22]
15,[],10,247000.0,288000.0,"['12', '13', '42']","[23, 24, 25, 26, 27]"
2,"[['24', '32', '43']]",11,291000.0,298000.0,"['12', '23', '31']",[28]
7,[],10,299000.0,333000.0,"['12', '13', '42']","[29, 30, 31, 32]"
2,[],20,336000.0,338000.0,"['12', '13', '23', '42']",[33]
2,"[['23', '34', '42']]",23,339000.0,341000.0,"['12', '13', '24', '41']",[34]
