count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,12,null,[],1,1,13000,13000,['12'],"[1, 0, 0, 0]","[0, 1, 0, 0]",[1],"[1.0, -1.0, 0.0, 0.0]"
1,21,21,[],1,4,14000,14000,['21'],"[0, 1, 0, 0]","[1, 0, 0, 0]",[1],"[0.0, 0.0, 0.0, 0.0]"
1,12,12,[],1,1,17000,17000,['12'],"[1, 0, 0, 0]","[0, 1, 0, 0]",[1],"[0.33333333333333337, -0.33333333333333326, 0.0, 0.0]"
2,23,null,[],3,13,19000,20000,"['12', '23']","[1, 1, 0, 0]","[0, 1, 1, 0]","[1, 1]","[1.25, 0.5, -1.75, 0.0]"
2,21,21,[],2,4,21000,23000,"['21', '23']","[0, 2, 0, 0]","[1, 0, 1, 0]","[1, 1]","[0.8, 0.8, -1.6, 0.0]"
1,12,12,[],3,13,24000,24000,"['12', '23']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0.9999999999999999, 0.6666666666666665, -1.6666666666666665, 0.0]"
4,21,21,[],2,4,30000,43000,"['21', '23']","[0, 4, 0, 0]","[4, 0, 0, 0]","[4, 0]","[0.20000000000000007, 1.2, -1.4, 0.0]"
1,12,12,[],3,13,44000,44000,"['12', '23']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0.36363636363636365, 1.0909090909090908, -1.4545454545454546, 0.0]"
1,21,21,[],2,4,45000,45000,"['21', '23']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0]","[0.2500000000000001, 1.1666666666666667, -1.4166666666666667, 0.0]"
4,12,12,[],3,13,46000,61000,"['12', '23']","[4, 0, 0, 0]","[0, 4, 0, 0]","[4, 0]","[0.6875, 0.875, -1.5625, 0.0]"
1,32,32,[],4,4,63000,63000,"['12', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1]","[0.3541666666666667, 0.20833333333333337, -0.5624999999999999, 0.0]"
1,13,null,[],10,3,64000,64000,"['12', '32', '13']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1]","[1.6874999999999998, 0.3125000000000001, -1.9999999999999998, 0.0]"
2,21,21,"[['13', '21', '32']]",11,3,67000,70000,"['21', '32', '13']","[0, 1, 1, 0]","[1, 1, 0, 0]","[1, 1, 0]","[1.5882352941176472, -0.08823529411764697, -1.5, 0.0]"
1,31,31,[],10,15,72000,72000,"['21', '32', '31']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1]","[0.08823529411764719, -0.08823529411764697, 0.0, 0.0]"
1,12,12,[],10,9,82000,82000,"['12', '32', '31']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0]","[0.16666666666666663, -0.16666666666666674, 0.0, 0.0]"
2,13,13,[],10,3,86000,88000,"['12', '32', '13']","[2, 0, 0, 0]","[0, 1, 1, 0]","[1, 0, 1]","[0.7368421052631579, -0.23684210526315796, -0.5, 0.0]"
1,21,21,"[['13', '21', '32']]",11,3,89000,89000,"['21', '32', '13']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0]","[0.65, -0.15000000000000013, -0.4999999999999998, 0.0]"
2,12,12,[],10,3,94000,101000,"['12', '32', '13']","[2, 0, 0, 0]","[0, 2, 0, 0]","[2, 0, 0]","[0.7727272727272725, -0.2727272727272727, -0.4999999999999998, 0.0]"
1,21,21,"[['13', '21', '32']]",11,3,102000,102000,"['21', '32', '13']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0]","[0.6956521739130437, -0.19565217391304324, -0.5, 0.0]"
1,12,12,[],10,3,107000,107000,"['12', '32', '13']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0]","[0.7499999999999999, -0.25, -0.5, 0.0]"
2,21,21,"[['13', '21', '32']]",11,3,112000,114000,"['21', '32', '13']","[0, 2, 0, 0]","[2, 0, 0, 0]","[2, 0, 0]","[0.6153846153846152, -0.1153846153846152, -0.4999999999999998, 0.0]"
1,12,12,[],10,3,115000,115000,"['12', '32', '13']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0]","[0.6666666666666669, -0.16666666666666674, -0.5, 0.0]"
