Species,Group,# Interaction,# Reversals,% Reversals,# States,# State Variants,# State Unique,# Triads,# Linear States,# Non-Linear States,% Linear States,% Non-Linear States,# Linear Interactions,# Non-Linear Interactions,% Linear Interactions,% Non-Linear Interactions,# Interactions / State,# Interactions / Linear State,# Interactions / Non-Linear State
Chicken,1,255,4,1.568627451,10,8,7,1,4,6,40,60,231,24,90.58823529,9.411764706,25.5,57.75,4
Chicken,2,1111,7,0.630063006,13,9,7,0,5,8,38.46153846,61.53846154,654,457,58.86588659,41.13411341,85.46153846,130.8,57.125
Chicken,3,494,6,1.214574899,12,9,7,1,5,7,41.66666667,58.33333333,456,38,92.30769231,7.692307692,41.16666667,91.2,5.428571429
Chicken,4,362,29,8.011049724,35,16,11,4,13,22,37.14285714,62.85714286,311,51,85.91160221,14.08839779,10.34285714,23.92307692,2.318181818
Chicken,5,570,31,5.438596491,37,15,12,5,3,34,8.108108108,91.89189189,237,333,41.57894737,58.42105263,15.40540541,79,9.794117647
Chicken,6,879,14,1.592718999,20,15,14,5,3,17,15,85,769,110,87.48577929,12.51422071,43.95,256.3333333,6.470588235
Chicken,7,383,15,3.916449086,21,13,10,10,7,14,33.33333333,66.66666667,313,70,81.7232376,18.2767624,18.23809524,44.71428571,5
Chicken,8,533,12,2.251407129,18,12,9,2,8,10,44.44444444,55.55555556,487,46,91.369606,8.630393996,29.61111111,60.875,4.6
Chicken,9,324,3,0.925925926,9,8,7,0,3,6,33.33333333,66.66666667,154,170,47.5308642,52.4691358,36,51.33333333,28.33333333
Chicken,10,410,6,1.463414634,12,9,8,1,5,7,41.66666667,58.33333333,269,141,65.6097561,34.3902439,34.16666667,53.8,20.14285714
Chicken,11,605,3,0.495867769,9,8,6,0,3,6,33.33333333,66.66666667,441,164,72.89256198,27.10743802,67.22222222,147,27.33333333
Chicken,12,446,0,0,6,6,6,0,1,5,16.66666667,83.33333333,403,43,90.35874439,9.641255605,74.33333333,403,8.6
Chicken,13,413,2,0.484261501,8,7,7,1,2,6,25,75,160,253,38.7409201,61.2590799,51.625,80,42.16666667
Chicken,14,472,6,1.271186441,12,9,7,0,1,11,8.333333333,91.66666667,212,260,44.91525424,55.08474576,39.33333333,212,23.63636364
