count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,41,null,[],1,6,34902200,34902200,['41'],"[0, 0, 0, 1]","[1, 0, 0, 0]",[1],"[-1.0, 0.0, 0.0, 1.0]"
2,14,14,[],1,3,34907200,34912200,['14'],"[2, 0, 0, 0]","[0, 0, 0, 2]",[2],"[0.33333333333333337, 0.0, 0.0, -0.33333333333333326]"
2,12,null,[],2,2,34978300,35243400,"['14', '12']","[2, 0, 0, 0]","[0, 2, 0, 0]","[0, 2]","[1.3333333333333335, -1.3333333333333333, 0.0, 0.0]"
6,34,null,[],12,4,35676800,35988700,"['14', '12', '34']","[4, 0, 2, 0]","[0, 3, 0, 3]","[1, 3, 2]","[1.25, -1.25, 1.25, -1.25]"
14,13,null,[],16,2,36060900,38193900,"['14', '12', '34', '13']","[10, 0, 4, 0]","[0, 2, 2, 10]","[6, 2, 4, 2]","[3.7, -1.1, 8.326672684688674e-17, -2.5999999999999996]"
8,42,null,[],29,3,38362000,39461900,"['14', '12', '34', '13', '42']","[7, 0, 0, 1]","[0, 3, 1, 4]","[4, 2, 0, 1, 1]","[4.714285714285715, -4.0, 0.9999999999999998, -1.7142857142857144]"
5,23,null,"[['23', '34', '42']]",39,2,39768600,40484000,"['14', '12', '34', '13', '42', '23']","[2, 1, 0, 2]","[0, 4, 1, 0]","[0, 2, 0, 0, 2, 1]","[5.714285714285715, -2.0, -2.0000000000000004, -1.7142857142857142]"
69,24,24,[],38,1,40485200,50871700,"['14', '12', '34', '13', '24', '23']","[42, 23, 4, 0]","[0, 20, 19, 30]","[12, 20, 4, 10, 14, 9]","[5.846153846153847, 1.2941176470588232, -2.0, -5.140271493212669]"
29,43,43,[],38,2,51205200,122319000,"['14', '12', '43', '13', '24', '23']","[17, 11, 0, 1]","[0, 10, 7, 12]","[4, 10, 1, 3, 8, 3]","[5.866666666666666, 1.5199999999999998, -2.3636363636363638, -5.023030303030303]"
105,34,34,[],38,1,122334900,126119200,"['14', '12', '34', '13', '24', '23']","[73, 31, 1, 0]","[0, 63, 5, 37]","[7, 63, 1, 3, 29, 2]","[5.891891891891892, 1.7777777777777777, -2.3333333333333335, -5.336336336336336]"
1,43,43,[],38,2,126210600,126210600,"['14', '12', '43', '13', '24', '23']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]","[5.891891891891891, 1.777777777777778, -2.6153846153846154, -5.054285054285054]"
252,34,34,[],38,1,126214000,143400200,"['14', '12', '34', '13', '24', '23']","[81, 129, 42, 0]","[0, 31, 69, 152]","[45, 31, 42, 5, 65, 64]","[5.951219512195123, 1.8991596638655461, -2.1454545454545455, -5.704924630606122]"
