start,end,count,Attacker,Victim,1,2,3,4
34559200,34559200,1,2,4,0.0,1.0,0.0,-1.0
34586200,34586200,1,4,2,0.0,0.0,0.0,0.0
34683300,34694700,3,1,2,1.5,-1.0,0.0,-0.5
34699500,34699500,1,2,1,0.75,-0.5,0.0,-0.25
34701400,34707600,2,1,2,0.9999999999999999,-0.6666666666666667,0.0,-0.3333333333333335
34710100,34710100,1,2,1,0.6428571428571428,-0.4285714285714286,0.0,-0.2142857142857144
34714000,34714000,1,1,2,0.75,-0.5,0.0,-0.25
34714000,34714000,1,2,1,0.5,-0.33333333333333337,0.0,-0.16666666666666663
34725300,34726600,2,1,2,0.681818181818182,-0.4545454545454546,0.0,-0.2272727272727273
34730500,34730500,1,2,1,0.5,-0.33333333333333337,0.0,-0.16666666666666663
34736800,34736800,1,1,2,0.5769230769230769,-0.3846153846153846,0.0,-0.1923076923076923
34755700,35060700,6,1,3,1.5769230769230769,-0.07692307692307687,-1.3076923076923077,-0.1923076923076923
35419200,35419200,1,1,2,1.642857142857143,-0.14285714285714302,-1.2857142857142856,-0.2142857142857144
35794600,35794600,1,2,4,1.8095238095238098,0.19047619047619035,-1.2857142857142856,-0.7142857142857143
38060200,38875600,4,4,2,1.4285714285714288,-0.5714285714285714,-1.2857142857142856,0.4285714285714287
40150500,40150500,1,1,4,3.1428571428571432,-1.0,-1.2857142857142856,-0.8571428571428569
40153600,40153600,1,4,1,1.6428571428571432,-1.0,-1.7857142857142856,1.1428571428571432
40158500,40158500,1,1,4,2.1428571428571432,-1.0000000000000002,-1.619047619047619,0.4761904761904764
43458900,43458900,1,1,3,2.1428571428571432,-1.0000000000000002,-1.619047619047619,0.4761904761904764
44058200,44058200,1,1,4,2.3928571428571432,-1.0,-1.5357142857142856,0.1428571428571429
44072500,44072500,1,3,4,3.1428571428571423,-1.7142857142857144,0.4285714285714287,-1.8571428571428572
44107200,44116700,4,1,2,3.333333333333333,-1.9682539682539686,0.4920634920634922,-1.857142857142857
44311400,44313900,2,3,2,4.111111111111111,-3.9682539682539684,2.0,-2.142857142857143
44472300,44490200,4,1,2,4.272727272727273,-4.12987012987013,1.9999999999999998,-2.142857142857143
45240200,45240200,1,3,4,4.272727272727273,-4.12987012987013,1.9999999999999998,-2.142857142857143
45624900,45624900,1,3,2,4.272727272727273,-4.12987012987013,1.9999999999999998,-2.142857142857143
45745400,46662100,2,1,3,4.272727272727273,-4.12987012987013,1.9999999999999998,-2.142857142857143
46989400,46989400,1,2,4,4.272727272727273,-3.7727272727272725,1.9999999999999998,-2.5
47016600,47058700,2,1,2,4.333333333333333,-3.8333333333333335,2.0,-2.5
47938300,47938300,1,1,3,4.333333333333333,-3.8333333333333335,2.0,-2.5
48454200,48454200,1,2,4,4.333333333333333,-3.5555555555555562,2.0,-2.777777777777778
48769200,49210500,2,3,2,4.333333333333333,-3.5555555555555562,2.0,-2.777777777777778
49417100,49417100,1,2,4,4.333333333333334,-3.3333333333333335,2.0,-3.0
50524200,50539000,3,2,1,3.962962962962963,-2.962962962962963,2.0,-3.0
50609500,51164900,7,1,2,4.1764705882352935,-3.176470588235294,2.0,-3.0
51613900,51613900,1,1,3,4.1764705882352935,-3.176470588235294,2.0,-3.0
51683400,51691600,7,2,4,4.1764705882352935,-2.352941176470588,2.0,-3.8235294117647056
51787100,52364700,2,1,2,4.222222222222221,-2.3986928104575167,2.0,-3.823529411764706
52931400,52931400,1,1,4,4.422222222222222,-2.3986928104575167,2.0,-4.023529411764706
53002100,53015600,3,1,2,4.482051282051282,-2.4585218702865763,2.0,-4.023529411764706
53186300,53186300,1,3,2,4.482051282051282,-2.4585218702865763,2.0,-4.023529411764706
53223200,53671300,5,1,3,4.482051282051282,-2.4585218702865763,2.0,-4.023529411764706
53719500,53719500,1,1,2,4.5,-2.4764705882352938,2.0,-4.023529411764706
53993300,53993300,1,3,2,4.5,-2.4764705882352938,2.0,-4.023529411764706
53997700,53997700,1,2,3,4.5,-1.9764705882352938,1.4999999999999998,-4.023529411764706
54006000,54014900,2,3,2,4.5,-2.076470588235294,1.5999999999999999,-4.023529411764706
54016500,54016500,1,2,3,4.500000000000001,-1.7491978609625665,1.2727272727272727,-4.023529411764706
55011600,55227700,3,1,2,4.548837209302326,-1.7980350702648922,1.2727272727272727,-4.023529411764706
119090100,119090100,1,2,4,4.548837209302327,-1.7326755931407096,1.2727272727272732,-4.088888888888889
119094000,119094000,1,4,2,4.548837209302326,-1.8847223767664403,1.272727272727273,-3.9368421052631577
119143300,119146200,3,2,4,4.5488372093023255,-1.7124735729386895,1.272727272727273,-4.109090909090909
119150100,119150100,1,4,2,4.548837209302327,-1.8389557863774246,1.2727272727272732,-3.982608695652174
119219600,119273800,4,1,2,4.604255319148937,-1.8943738962240353,1.2727272727272725,-3.982608695652174
