count,intransitive,stateMatch,start,end,states,idxs
3,[],1,34318000,34361700,['12'],[1]
12,[],4,34405600,34503400,"['21', '31']",[2]
2,[],3,34522200,34524000,"['12', '31']",[3]
1,[],10,34815400,34815400,"['12', '13', '23']",[4]
8,[],22,34823900,35243700,"['21', '31', '41', '43']",[5]
1,[],30,35246000,35246000,"['12', '13', '14', '24', '34']",[6]
1,[],32,35273100,35273100,"['12', '14', '24', '31', '34']",[7]
2,"[['13', '21', '32']]",35,35294500,35300800,"['12', '14', '24', '31', '43']",[8]
1,[],32,35334100,35334100,"['12', '14', '24', '31', '34']",[9]
1,"[['14', '31', '43']]",37,35355200,35355200,"['14', '21', '24', '31', '43']",[10]
5,[],32,35415300,35874300,"['12', '14', '24', '31', '34']",[11]
11,[],31,35875900,36324800,"['13', '14', '21', '24', '43']",[12]
2,"[['13', '21', '32']]",34,36359300,36366400,"['13', '14', '21', '42', '43']",[13]
3,[],31,36367200,36398400,"['13', '14', '21', '24', '43']",[14]
1,"[['13', '21', '32']]",34,36402500,36402500,"['13', '14', '21', '42', '43']",[15]
55,[],28,36475600,37712900,"['12', '13', '14', '42', '43']",[16]
329,[],38,37731400,126190100,"['12', '13', '14', '23', '24', '43']","[17, 18]"
1,"[['23', '34', '42']]",39,126235500,126235500,"['12', '13', '14', '24', '32', '43']",[19]
440,[],38,126239000,142080300,"['12', '13', '14', '23', '24', '43']",[20]
