Time,Attacker,Victim,Attack Type,4,3,2,1
60000,3,4,T,-1.0,1.0,0.0,0.0
68000,3,4,T,-1.0,1.0,0.0,0.0
69000,3,4,T,-1.0,1.0,0.0,0.0
82000,3,2,T,-1.0,2.0,-1.0,0.0
88000,3,1,T,-1.0,3.0,-1.0,-1.0
100000,3,2,T,-1.0,3.0,-1.0,-1.0
104000,3,2,T,-1.0,3.0,-1.0,-1.0
115000,3,4,T,-1.0,3.0,-1.0,-1.0
117000,3,1,T,-1.0,3.0,-1.0,-1.0
117000,1,3,T,-1.3333333333333333,2.333333333333333,-1.3333333333333333,0.33333333333333326
120000,3,2,T,-1.3333333333333333,2.333333333333333,-1.3333333333333333,0.33333333333333326
146000,3,1,T,-1.25,2.5,-1.25,0.0
151000,1,3,T,-1.4,2.2,-1.4,0.6
154000,1,2,T,-1.4,2.8,-3.0,1.5999999999999999
156000,1,3,T,-1.5,2.5,-3.0,2.0
159000,1,4,T,-3.0,3.0,-3.0,3.0
165000,3,1,T,-3.0,3.2857142857142856,-3.0,2.714285714285715
168000,1,3,T,-3.0,3.0,-3.0,3.0
193000,4,3,T,-2.2,2.3999999999999995,-3.2,2.9999999999999996
332000,1,4,T,-2.2,2.3999999999999995,-3.2,2.9999999999999996
673000,1,3,B,-2.2,2.1777777777777776,-3.2,3.2222222222222223
778000,3,1,T,-2.2,2.3999999999999995,-3.2,2.9999999999999996
938000,3,1,T,-2.2,2.581818181818182,-3.2,2.8181818181818183
1202000,4,2,T,-1.2,3.381818181818182,-6.0,3.8181818181818183
1203000,4,2,T,-1.2,3.381818181818182,-6.0,3.8181818181818183
1203000,4,3,T,-0.6666666666666665,2.848484848484848,-6.0,3.818181818181818
1213000,3,2,T,-0.6666666666666665,2.848484848484848,-6.0,3.818181818181818
1259000,3,2,T,-0.6666666666666665,2.848484848484848,-6.0,3.818181818181818
1284000,2,1,T,-0.6666666666666665,2.8484848484848486,-4.0,1.8181818181818175
1287000,4,1,T,0.6666666666666665,2.8484848484848477,-4.0,0.4848484848484844
1290000,4,1,T,1.333333333333333,2.848484848484848,-4.0,-0.1818181818181821
1314000,2,3,T,1.3333333333333337,2.277056277056278,-3.428571428571428,-0.1818181818181821
1320000,2,1,T,1.3333333333333335,2.2770562770562766,-2.761904761904762,-0.8484848484848486
1322000,2,1,T,1.3333333333333337,2.2770562770562766,-2.4285714285714284,-1.1818181818181812
1324000,2,1,T,1.333333333333333,2.2770562770562766,-2.228571428571428,-1.3818181818181816
1324000,2,1,T,1.333333333333333,2.277056277056277,-2.095238095238095,-1.5151515151515156
1332000,2,1,T,1.333333333333333,2.2770562770562774,-2.0,-1.6103896103896105
1343000,2,1,T,1.3333333333333337,2.277056277056277,-1.9285714285714284,-1.6818181818181817
1359000,2,1,T,1.333333333333333,2.277056277056278,-1.8730158730158732,-1.737373737373737
1360000,2,1,T,1.333333333333334,2.277056277056278,-1.828571428571428,-1.7818181818181817
1362000,2,1,T,1.3333333333333333,2.277056277056277,-1.7922077922077917,-1.8181818181818183
1363000,2,1,T,1.3333333333333335,2.2770562770562774,-1.7619047619047616,-1.8484848484848477
1369000,2,1,T,1.333333333333333,2.2770562770562774,-1.736263736263736,-1.8741258741258735
1372000,2,1,T,1.333333333333333,2.2770562770562774,-1.714285714285714,-1.8961038961038954
1374000,3,1,T,1.3333333333333337,2.428571428571428,-1.714285714285714,-2.0476190476190474
1376000,4,1,T,1.7333333333333338,2.428571428571429,-1.7142857142857137,-2.4476190476190474
1379000,4,1,T,2.0,2.428571428571428,-1.714285714285714,-2.714285714285714
1380000,3,2,T,2.0,2.5,-1.7857142857142856,-2.714285714285714
1381000,2,3,T,2.0,2.1111111111111107,-1.396825396825397,-2.714285714285714
1383000,3,2,T,1.9999999999999998,2.2,-1.4857142857142858,-2.7142857142857144
1385000,3,1,T,1.9999999999999996,2.328205128205128,-1.4857142857142858,-2.8424908424908426
1386000,2,1,T,1.9999999999999996,2.328205128205128,-1.4666666666666668,-2.8615384615384616
1387000,2,1,T,2.0,2.328205128205128,-1.45,-2.878205128205128
1390000,3,1,T,2.0,2.4380952380952383,-1.45,-2.9880952380952377
1391000,2,3,T,2.0000000000000004,2.1471861471861473,-1.1590909090909092,-2.9880952380952377
1394000,2,1,T,2.0,2.1471861471861464,-1.1443850267379678,-3.0028011204481793
1396000,2,3,T,1.9999999999999996,1.9047619047619044,-0.9019607843137258,-3.0028011204481793
1397000,2,1,T,1.9999999999999998,1.9047619047619042,-0.8888888888888888,-3.015873015873016
1468000,1,2,T,2.0,1.9047619047619047,-1.0877192982456136,-2.8170426065162903
1471000,1,2,T,1.9999999999999996,1.904761904761905,-1.2666666666666664,-2.6380952380952385
1471000,1,2,C,1.9999999999999996,1.9047619047619047,-1.4285714285714288,-2.4761904761904763
1475000,1,2,C,2.0,1.9047619047619047,-1.5757575757575757,-2.329004329004329
1476000,1,2,T,2.0,1.9047619047619047,-1.7101449275362317,-2.1946169772256723
1477000,1,2,C,2.0,1.9047619047619044,-1.8333333333333333,-2.0714285714285716
1478000,1,2,C,1.9999999999999996,1.9047619047619049,-1.946666666666666,-1.9580952380952379
1485000,1,2,T,1.9999999999999998,1.9047619047619044,-2.051282051282051,-1.8534798534798536
1486000,1,2,T,1.9999999999999998,1.9047619047619044,-2.1481481481481484,-1.7566137566137567
1488000,1,2,T,2.0,1.9047619047619049,-2.2380952380952372,-1.6666666666666665
1502000,1,2,C,2.0,1.9047619047619044,-2.32183908045977,-1.582922824302135
1504000,1,2,C,2.0,1.9047619047619047,-2.4000000000000004,-1.5047619047619047
1504000,1,2,T,1.9999999999999996,1.9047619047619049,-2.473118279569892,-1.4316436251920117
1506000,1,2,T,1.9999999999999996,1.9047619047619053,-2.541666666666666,-1.3630952380952377
1608000,1,2,T,2.0,1.9047619047619053,-2.606060606060606,-1.2987012987012987
1612000,1,2,T,2.0,1.9047619047619049,-2.6666666666666665,-1.2380952380952377
1614000,1,2,C,2.0,1.9047619047619049,-2.7238095238095235,-1.1809523809523812
1618000,1,2,T,1.9999999999999998,1.9047619047619044,-2.7777777777777777,-1.126984126984127
1622000,4,2,T,1.9999999999999998,1.9047619047619044,-2.7777777777777777,-1.126984126984127
1624000,3,4,T,1.8095238095238093,2.095238095238095,-2.7777777777777777,-1.1269841269841274
