count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,32,null,[],1,9,69000,69000,['32'],"[0, 0, 1, 0]","[0, 1, 0, 0]",[1],"[0.0, -1.0, 1.0, 0.0]"
2,34,null,[],2,11,81000,158000,"['32', '34']","[0, 0, 2, 0]","[0, 1, 0, 1]","[1, 1]","[0.0, -1.0, 2.0, -1.0]"
1,31,null,[],6,3,196000,196000,"['32', '34', '31']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1]","[-1.0, -1.0, 3.0, -1.0]"
3,12,null,[],16,23,200000,208000,"['32', '34', '31', '12']","[1, 0, 2, 0]","[0, 2, 0, 1]","[1, 1, 0, 1]","[0.0, -3.0, 4.0, -1.0]"
8,23,23,"[['12', '23', '31']]",19,23,381000,2159000,"['23', '34', '31', '12']","[3, 4, 1, 0]","[0, 3, 4, 1]","[4, 1, 0, 3]","[0.0, -0.7142857142857144, 2.2857142857142865, -1.5714285714285714]"
5,14,null,"[['12', '23', '31']]",34,21,2167000,2197000,"['23', '34', '31', '12', '14']","[5, 0, 0, 0]","[0, 0, 0, 5]","[0, 0, 0, 0, 5]","[0.9999999999999998, -0.7142857142857144, 3.2857142857142856, -3.571428571428571]"
3,41,41,"[['12', '23', '31']]",35,23,2200000,2254000,"['23', '34', '31', '12', '41']","[2, 0, 0, 1]","[1, 2, 0, 0]","[0, 0, 0, 2, 1]","[0.4999999999999998, -0.8809523809523812, 3.2857142857142856, -2.904761904761905]"
1,13,13,"[['13', '34', '41']]",35,2,2255000,2255000,"['23', '34', '13', '12', '41']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0, 0]","[2.5, -0.8809523809523809, 1.2857142857142863, -2.904761904761905]"
1,14,14,[],29,2,2282000,2282000,"['23', '34', '13', '12', '14']","[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 1]","[2.5714285714285716, -0.8571428571428572, 1.2857142857142863, -3.0]"
2,43,43,[],30,2,2283000,2284000,"['23', '43', '13', '12', '14']","[1, 0, 0, 1]","[0, 0, 2, 0]","[0, 1, 1, 0, 0]","[3.2380952380952372, -1.107142857142857, -0.13095238095238093, -2.0]"
1,42,null,[],38,4,2577000,2577000,"['23', '43', '13', '12', '14', '42']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 1]","[4.095238095238095, -3.7142857142857144, 0.04761904761904745, -0.4285714285714286]"
30,21,21,"[['14', '21', '42']]",40,6,2582000,3091000,"['23', '43', '13', '21', '14', '42']","[29, 1, 0, 0]","[1, 0, 9, 20]","[0, 0, 9, 1, 20, 0]","[4.947089947089946, -3.142857142857143, -0.9523809523809528, -0.8518518518518521]"
2,12,12,[],38,4,3140000,3225000,"['23', '43', '13', '12', '14', '42']","[2, 0, 0, 0]","[0, 2, 0, 0]","[0, 0, 0, 2, 0, 0]","[5.074074074074073, -3.2698412698412698, -0.9523809523809523, -0.8518518518518521]"
3,32,32,[],38,6,3242000,3245000,"['32', '43', '13', '12', '14', '42']","[0, 0, 3, 0]","[0, 3, 0, 0]","[3, 0, 0, 0, 0, 0]","[5.074074074074073, -3.9555555555555557, -0.26666666666666683, -0.8518518518518516]"
3,34,34,[],38,5,3256000,3334000,"['32', '34', '13', '12', '14', '42']","[0, 0, 3, 0]","[0, 0, 0, 3]","[0, 3, 0, 0, 0, 0]","[5.0740740740740735, -3.9555555555555557, 0.16190476190476155, -1.2804232804232805]"
3,31,31,[],38,11,3338000,3349000,"['32', '34', '31', '12', '14', '42']","[2, 0, 1, 0]","[1, 1, 0, 1]","[0, 0, 1, 1, 1, 0]","[4.841758241758241, -4.0, 0.44395604395604393, -1.2857142857142856]"
1,21,21,"[['14', '21', '42']]",39,5,3350000,3350000,"['32', '34', '31', '21', '14', '42']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]","[4.514485514485514, -3.672727272727273, 0.44395604395604416, -1.2857142857142856]"
3,12,12,[],38,11,3389000,3439000,"['32', '34', '31', '12', '14', '42']","[3, 0, 0, 0]","[0, 1, 0, 2]","[0, 0, 0, 1, 2, 0]","[4.584615384615384, -3.7333333333333334, 0.4439560439560437, -1.2952380952380953]"
7,13,13,[],38,5,3466000,3575000,"['32', '34', '13', '12', '14', '42']","[4, 0, 3, 0]","[0, 2, 2, 3]","[1, 2, 2, 1, 1, 0]","[4.722249793217536, -3.93006993006993, 0.6343434343434342, -1.4265232974910396]"
4,41,41,"[['13', '34', '41']]",40,3,3590000,3645000,"['32', '34', '13', '12', '41', '42']","[0, 0, 2, 2]","[1, 2, 0, 1]","[1, 1, 0, 0, 1, 1]","[4.601282051282051, -4.051282051282051, 0.8000000000000005, -1.3499999999999999]"
1,43,43,[],38,12,3646000,3646000,"['32', '43', '13', '12', '41', '42']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[4.601282051282051, -4.051282051282051, 0.47272727272727266, -1.022727272727273]"
2,23,23,[],38,10,3692000,3705000,"['23', '43', '13', '12', '41', '42']","[1, 1, 0, 0]","[0, 0, 2, 0]","[1, 0, 1, 0, 0, 0]","[4.634615384615385, -3.846153846153846, 0.23426573426573438, -1.022727272727273]"
4,34,34,"[['23', '34', '42'], ['13', '34', '41']]",41,3,3706000,3852000,"['23', '34', '13', '12', '41', '42']","[3, 0, 1, 0]","[0, 0, 3, 1]","[0, 1, 3, 0, 0, 0]","[4.713562753036438, -3.8461538461538467, 0.21592442645074228, -1.0833333333333337]"
2,32,32,"[['13', '34', '41']]",40,3,3856000,3874000,"['32', '34', '13', '12', '41', '42']","[1, 0, 1, 0]","[0, 1, 1, 0]","[1, 0, 1, 0, 0, 0]","[4.734615384615385, -3.956043956043956, 0.304761904761905, -1.0833333333333333]"
3,31,31,[],38,17,3887000,3891000,"['32', '34', '31', '12', '41', '42']","[0, 0, 3, 0]","[3, 0, 0, 0]","[0, 0, 3, 0, 0, 0]","[4.265050167224081, -3.956043956043956, 0.7743271221532089, -1.083333333333333]"
26,14,14,[],38,11,3901000,4135000,"['32', '34', '31', '12', '14', '42']","[14, 0, 12, 0]","[1, 12, 0, 13]","[3, 8, 1, 9, 5, 0]","[4.42014742014742, -4.459893048128343, 1.4235294117647057, -1.383783783783784]"
3,21,21,"[['14', '21', '42']]",39,5,4171000,4213000,"['32', '34', '31', '21', '14', '42']","[0, 1, 2, 0]","[2, 0, 0, 1]","[0, 1, 1, 1, 0, 0]","[4.142044653349002, -4.301790281329923, 1.5625770308123255, -1.4028314028314033]"
1,13,13,"[['14', '21', '42'], ['13', '21', '32']]",41,21,4214000,4214000,"['32', '34', '13', '21', '14', '42']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]","[4.185121576425924, -4.301790281329923, 1.519500107735402, -1.4028314028314028]"
2,23,23,"[['23', '34', '42'], ['14', '21', '42']]",41,6,4216000,4217000,"['23', '34', '13', '21', '14', '42']","[1, 1, 0, 0]","[0, 0, 1, 1]","[1, 0, 0, 0, 1, 0]","[4.190811476852666, -4.144927536231883, 1.3626373626373627, -1.4085213032581452]"
3,12,12,"[['23', '34', '42']]",39,2,4219000,4239000,"['23', '34', '13', '12', '14', '42']","[3, 0, 0, 0]","[0, 3, 0, 0]","[0, 0, 0, 3, 0, 0]","[4.251012145748987, -4.205128205128205, 1.362637362637363, -1.4085213032581454]"
8,32,32,[],38,5,4242000,4270000,"['32', '34', '13', '12', '14', '42']","[6, 0, 2, 0]","[0, 5, 1, 2]","[1, 1, 1, 4, 1, 0]","[4.357834757834758, -4.336842105263158, 1.4102427786638316, -1.4312354312354307]"
2,24,24,[],38,3,4270000,4292000,"['32', '34', '13', '12', '14', '24']","[0, 1, 1, 0]","[0, 0, 0, 2]","[0, 1, 0, 0, 0, 1]","[4.357834757834759, -3.003508771929825, 1.4260530553436732, -2.7803790412486062]"
39,31,31,[],38,9,4296000,4437000,"['32', '34', '31', '12', '14', '24']","[8, 0, 31, 0]","[3, 7, 0, 29]","[7, 21, 3, 0, 8, 0]","[4.0964539007092196, -3.3435897435897433, 2.228438228438228, -2.9813023855577048]"
31,13,13,[],38,3,4446000,4922000,"['32', '34', '13', '12', '14', '24']","[26, 5, 0, 0]","[0, 10, 7, 14]","[0, 0, 7, 10, 9, 5]","[4.476061776061776, -1.7769230769230768, 1.9761859761859764, -4.675324675324676]"
2,21,21,"[['13', '21', '32']]",40,5,4925000,4926000,"['32', '34', '13', '21', '14', '24']","[0, 2, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 2, 0, 0]","[4.2998712998713, -1.6007326007326004, 1.9761859761859764, -4.675324675324675]"
42,12,12,[],38,3,4929000,5157000,"['32', '34', '13', '12', '14', '24']","[41, 0, 1, 0]","[0, 17, 22, 3]","[1, 0, 22, 16, 3, 0]","[4.841613091759204, -1.766283524904215, 1.6072590309878443, -4.682588597842836]"
63,23,23,[],38,1,5166000,5607000,"['23', '34', '13', '12', '14', '24']","[57, 6, 0, 0]","[0, 21, 31, 11]","[3, 0, 28, 21, 8, 3]","[5.16766234302082, -1.2741081703107018, 1.077951933124347, -4.9715061058344645]"
1,41,41,"[['13', '34', '41'], ['12', '24', '41']]",41,20,5612000,5612000,"['23', '34', '13', '12', '41', '24']","[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 1, 0]","[5.110594739860152, -1.2741081703107016, 1.0779519331243472, -4.9144385026737964]"
156,14,14,[],38,1,5613000,6426000,"['23', '34', '13', '12', '14', '24']","[155, 1, 0, 0]","[0, 74, 63, 19]","[0, 0, 63, 74, 18, 1]","[5.463079495364037, -1.3359477124183006, 0.884848484848485, -5.011980267794222]"
245,32,32,[],38,3,6438000,7973000,"['32', '34', '13', '12', '14', '24']","[224, 2, 19, 0]","[0, 80, 129, 36]","[14, 5, 129, 66, 29, 2]","[5.660958797372562, -1.6619225523335108, 1.1619220513229729, -5.160958296362022]"
3,42,42,[],38,5,7974000,7976000,"['32', '34', '13', '12', '14', '42']","[2, 0, 0, 1]","[0, 2, 0, 1]","[0, 0, 0, 1, 1, 1]","[5.6622734576016, -1.8909090909090907, 1.161922051322973, -4.9332864180154825]"
1,21,21,"[['14', '21', '42'], ['13', '21', '32']]",41,21,7979000,7979000,"['32', '34', '13', '21', '14', '42']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]","[5.644585263442817, -1.8732208967503083, 1.1619220513229729, -4.9332864180154825]"
125,12,12,[],38,5,7984000,8571000,"['32', '34', '13', '12', '14', '42']","[122, 0, 3, 0]","[0, 53, 49, 23]","[3, 0, 49, 50, 23, 0]","[5.70315695962715, -1.945481667582633, 1.1927284665812357, -4.950403758625752]"
9,24,24,[],38,3,8576000,8629000,"['32', '34', '13', '12', '14', '24']","[8, 1, 0, 0]","[0, 3, 1, 5]","[0, 0, 1, 3, 4, 1]","[5.706912128095542, -1.8964513123155768, 1.1923577941815022, -5.0028186099614675]"
27,23,23,[],38,1,8630000,8787000,"['23', '34', '13', '12', '14', '24']","[22, 3, 2, 0]","[0, 8, 12, 7]","[1, 2, 11, 8, 3, 2]","[5.715054777375829, -1.74822695035461, 1.1274509803921566, -5.094278807413376]"
4,32,32,[],38,3,8789000,8806000,"['32', '34', '13', '12', '14', '24']","[2, 1, 1, 0]","[0, 1, 0, 3]","[1, 0, 0, 0, 2, 1]","[5.7161654771166654, -1.730146033777453, 1.144457783113245, -5.1304772264524585]"
1,21,21,"[['13', '21', '32']]",40,5,8832000,8832000,"['32', '34', '13', '21', '14', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]","[5.702331930766768, -1.7163124874275542, 1.1444577831132452, -5.1304772264524585]"
47,12,12,[],38,3,8834000,9116000,"['32', '34', '13', '12', '14', '24']","[41, 5, 1, 0]","[0, 22, 15, 10]","[1, 0, 15, 21, 5, 5]","[5.716787307955058, -1.6078947368421055, 1.1558133112399886, -5.264705882352942]"
26,43,43,"[['24', '32', '43']]",39,1,9120000,9406000,"['32', '43', '13', '12', '14', '24']","[25, 0, 0, 1]","[0, 7, 8, 11]","[0, 1, 7, 7, 11, 0]","[5.726299876382786, -1.609967845659164, 1.07972800679983, -5.196060037523452]"
47,42,42,[],38,6,9427000,9925000,"['32', '43', '13', '12', '14', '42']","[44, 0, 0, 3]","[0, 18, 16, 13]","[0, 1, 15, 16, 13, 2]","[5.7404756827595556, -1.8836038579157843, 1.004214003303138, -4.8610858281469085]"
46,24,24,"[['24', '32', '43']]",39,1,9925000,10302000,"['32', '43', '13', '12', '14', '24']","[44, 2, 0, 0]","[0, 15, 16, 15]","[0, 0, 16, 15, 13, 2]","[5.753189589750457, -1.8324143692564747, 0.9998943780306304, -4.920669598524613]"
37,23,23,[],38,2,10302000,10428000,"['23', '43', '13', '12', '14', '24']","[35, 2, 0, 0]","[0, 22, 9, 6]","[1, 0, 8, 22, 5, 1]","[5.761787838097064, -1.7499869974515005, 0.9351187329493504, -4.946919573594915]"
11,32,32,"[['24', '32', '43']]",39,1,10432000,10466000,"['32', '43', '13', '12', '14', '24']","[10, 0, 1, 0]","[0, 6, 2, 3]","[1, 0, 2, 5, 3, 0]","[5.7642575974598005, -1.7676205674523588, 0.9512149445198744, -4.947851974527316]"
34,42,42,[],38,6,10467000,10603000,"['32', '43', '13', '12', '14', '42']","[30, 0, 3, 1]","[0, 23, 5, 6]","[3, 0, 5, 19, 6, 1]","[5.770972306448353, -1.9278350515463918, 0.9961524232334444, -4.839289678135405]"
57,24,24,"[['24', '32', '43']]",39,1,10606000,10844000,"['32', '43', '13', '12', '14', '24']","[55, 2, 0, 0]","[0, 33, 12, 12]","[0, 0, 12, 33, 10, 2]","[5.782178824867572, -1.8834916864608076, 0.9933513027852652, -4.89203844119203]"
1,42,42,[],38,6,10846000,10846000,"['32', '43', '13', '12', '14', '42']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 1]","[5.782178824867572, -1.9819765349456562, 0.9933513027852653, -4.79355359270718]"
134,24,24,"[['24', '32', '43']]",39,1,10850000,11383000,"['32', '43', '13', '12', '14', '24']","[122, 8, 2, 2]","[0, 44, 52, 38]","[2, 2, 50, 42, 30, 8]","[5.805238127165382, -1.850521842719848, 0.8768129220536834, -4.831529206499218]"
17,42,42,[],38,6,11385000,11430000,"['32', '43', '13', '12', '14', '42']","[16, 0, 0, 1]","[0, 8, 3, 6]","[0, 0, 3, 7, 6, 1]","[5.80785893572039, -1.930400469258252, 0.8762731352694632, -4.753731601731602]"
165,24,24,"[['24', '32', '43']]",39,1,11430000,12306000,"['32', '43', '13', '12', '14', '24']","[146, 15, 4, 0]","[0, 69, 67, 29]","[4, 0, 67, 65, 14, 15]","[5.82813493187325, -1.7877555847639632, 0.9163989623006011, -4.956778309409889]"
1,21,21,"[['24', '32', '43'], ['13', '21', '32']]",41,5,12307000,12307000,"['32', '43', '13', '21', '14', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]","[5.820769887934066, -1.7803905408247807, 0.9163989623006017, -4.956778309409889]"
13,12,12,"[['24', '32', '43']]",39,1,12309000,12403000,"['32', '43', '13', '12', '14', '24']","[12, 0, 1, 0]","[0, 4, 8, 1]","[1, 0, 8, 3, 1, 0]","[5.822355078175803, -1.7923568871907456, 0.9269516450114519, -4.956949835996509]"
32,34,34,[],38,3,12407000,12613000,"['32', '34', '13', '12', '14', '24']","[25, 0, 7, 0]","[0, 20, 8, 4]","[4, 3, 8, 16, 1, 0]","[5.825287114344289, -1.8370791844476058, 0.9914826759282231, -4.979690605824906]"
