count,intransitive,stateMatch,start,end,states,idxs
1,[],1,69000,69000,['12'],[1]
2,[],2,81000,158000,"['12', '13']",[2]
1,[],6,196000,196000,"['12', '13', '14']",[3]
3,[],16,200000,208000,"['12', '13', '14', '43']",[4]
8,"[['12', '23', '31']]",19,381000,2159000,"['12', '14', '31', '43']",[5]
5,"[['12', '23', '31']]",34,2167000,2197000,"['13', '14', '21', '42', '43']",[6]
4,"[['12', '23', '31']]",35,2200000,2255000,"['12', '14', '24', '31', '43']","[7, 8]"
1,[],29,2282000,2282000,"['12', '13', '14', '24', '43']",[9]
2,[],30,2283000,2284000,"['12', '13', '14', '24', '34']",[10]
1,[],38,2577000,2577000,"['12', '13', '14', '23', '24', '43']",[11]
30,"[['14', '21', '42']]",40,2582000,3091000,"['12', '13', '23', '24', '41', '43']",[12]
11,[],38,3140000,3349000,"['12', '13', '14', '23', '24', '43']","[13, 14, 15, 16]"
1,"[['14', '21', '42']]",39,3350000,3350000,"['12', '13', '14', '24', '32', '43']",[17]
10,[],38,3389000,3575000,"['12', '13', '14', '23', '24', '43']","[18, 19]"
4,"[['13', '34', '41']]",40,3590000,3645000,"['12', '13', '23', '24', '41', '43']",[20]
3,[],38,3646000,3705000,"['12', '13', '14', '23', '24', '43']","[21, 22]"
4,"[['23', '34', '42'], ['13', '34', '41']]",41,3706000,3852000,"['12', '13', '24', '32', '41', '43']",[23]
2,"[['13', '34', '41']]",40,3856000,3874000,"['12', '13', '23', '24', '41', '43']",[24]
29,[],38,3887000,4135000,"['12', '13', '14', '23', '24', '43']","[25, 26]"
3,"[['14', '21', '42']]",39,4171000,4213000,"['12', '13', '14', '24', '32', '43']",[27]
3,"[['14', '21', '42'], ['13', '21', '32']]",41,4214000,4217000,"['12', '13', '24', '32', '41', '43']","[28, 29]"
3,"[['23', '34', '42']]",39,4219000,4239000,"['12', '13', '14', '24', '32', '43']",[30]
80,[],38,4242000,4922000,"['12', '13', '14', '23', '24', '43']","[31, 32, 33, 34]"
2,"[['13', '21', '32']]",40,4925000,4926000,"['12', '13', '23', '24', '41', '43']",[35]
105,[],38,4929000,5607000,"['12', '13', '14', '23', '24', '43']","[36, 37]"
1,"[['13', '34', '41'], ['12', '24', '41']]",41,5612000,5612000,"['12', '13', '24', '32', '41', '43']",[38]
404,[],38,5613000,7976000,"['12', '13', '14', '23', '24', '43']","[39, 40, 41]"
1,"[['14', '21', '42'], ['13', '21', '32']]",41,7979000,7979000,"['12', '13', '24', '32', '41', '43']",[42]
165,[],38,7984000,8806000,"['12', '13', '14', '23', '24', '43']","[43, 44, 45, 46]"
1,"[['13', '21', '32']]",40,8832000,8832000,"['12', '13', '23', '24', '41', '43']",[47]
47,[],38,8834000,9116000,"['12', '13', '14', '23', '24', '43']",[48]
26,"[['24', '32', '43']]",39,9120000,9406000,"['12', '13', '14', '24', '32', '43']",[49]
47,[],38,9427000,9925000,"['12', '13', '14', '23', '24', '43']",[50]
46,"[['24', '32', '43']]",39,9925000,10302000,"['12', '13', '14', '24', '32', '43']",[51]
37,[],38,10302000,10428000,"['12', '13', '14', '23', '24', '43']",[52]
11,"[['24', '32', '43']]",39,10432000,10466000,"['12', '13', '14', '24', '32', '43']",[53]
34,[],38,10467000,10603000,"['12', '13', '14', '23', '24', '43']",[54]
57,"[['24', '32', '43']]",39,10606000,10844000,"['12', '13', '14', '24', '32', '43']",[55]
1,[],38,10846000,10846000,"['12', '13', '14', '23', '24', '43']",[56]
134,"[['24', '32', '43']]",39,10850000,11383000,"['12', '13', '14', '24', '32', '43']",[57]
17,[],38,11385000,11430000,"['12', '13', '14', '23', '24', '43']",[58]
165,"[['24', '32', '43']]",39,11430000,12306000,"['12', '13', '14', '24', '32', '43']",[59]
1,"[['24', '32', '43'], ['13', '21', '32']]",41,12307000,12307000,"['12', '13', '24', '32', '41', '43']",[60]
13,"[['24', '32', '43']]",39,12309000,12403000,"['12', '13', '14', '24', '32', '43']",[61]
943,[],38,12407000,18086000,"['12', '13', '14', '23', '24', '43']","[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
1,"[['13', '21', '32']]",40,18092000,18092000,"['12', '13', '23', '24', '41', '43']",[79]
272,[],38,18093000,19396000,"['12', '13', '14', '23', '24', '43']","[80, 81, 82, 83, 84, 85, 86]"
1,"[['24', '32', '43']]",39,19397000,19397000,"['12', '13', '14', '24', '32', '43']",[87]
6,[],38,19398000,19441000,"['12', '13', '14', '23', '24', '43']","[88, 89]"
3,"[['23', '34', '42']]",39,19445000,19458000,"['12', '13', '14', '24', '32', '43']",[90]
22,[],38,19467000,19629000,"['12', '13', '14', '23', '24', '43']","[91, 92, 93]"
1,"[['23', '34', '42']]",39,19630000,19630000,"['12', '13', '14', '24', '32', '43']",[94]
344,[],38,19633000,22163000,"['12', '13', '14', '23', '24', '43']","[95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]"
7,"[['24', '32', '43']]",39,22168000,22208000,"['12', '13', '14', '24', '32', '43']",[109]
5,[],38,22211000,22218000,"['12', '13', '14', '23', '24', '43']",[110]
30,"[['24', '32', '43']]",39,22223000,22362000,"['12', '13', '14', '24', '32', '43']",[111]
30,[],38,22363000,22528000,"['12', '13', '14', '23', '24', '43']","[112, 113, 114, 115, 116, 117, 118]"
22,"[['24', '32', '43']]",39,22531000,22600000,"['12', '13', '14', '24', '32', '43']",[119]
49,[],38,22608000,22899000,"['12', '13', '14', '23', '24', '43']","[120, 121, 122, 123]"
3,"[['23', '34', '42']]",39,22907000,22918000,"['12', '13', '14', '24', '32', '43']",[124]
72,[],38,22934000,23258000,"['12', '13', '14', '23', '24', '43']","[125, 126]"
11,"[['24', '32', '43']]",39,23267000,23335000,"['12', '13', '14', '24', '32', '43']",[127]
357,[],38,23345000,25791000,"['12', '13', '14', '23', '24', '43']","[128, 129, 130, 131, 132, 133, 134, 135, 136, 137]"
25,"[['23', '34', '42']]",39,25800000,25933000,"['12', '13', '14', '24', '32', '43']",[138]
839,[],38,25951000,32450000,"['12', '13', '14', '23', '24', '43']","[139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151]"
1,"[['23', '34', '42']]",39,32454000,32454000,"['12', '13', '14', '24', '32', '43']",[152]
202,[],38,32455000,34160000,"['12', '13', '14', '23', '24', '43']",[153]
1,"[['12', '23', '31']]",40,34167000,34167000,"['12', '13', '23', '24', '41', '43']",[154]
10,[],38,34168000,34258000,"['12', '13', '14', '23', '24', '43']",[155]
7,"[['23', '34', '42']]",39,34268000,34329000,"['12', '13', '14', '24', '32', '43']",[156]
87,[],38,34335000,34810000,"['12', '13', '14', '23', '24', '43']",[157]
1,"[['23', '34', '42']]",39,34814000,34814000,"['12', '13', '14', '24', '32', '43']",[158]
153,[],38,34815000,35979000,"['12', '13', '14', '23', '24', '43']","[159, 160]"
20,"[['24', '32', '43']]",39,35995000,36136000,"['12', '13', '14', '24', '32', '43']",[161]
