count,intransitive,stateMatch,start,end,states,idxs
1,[],1,1104000,1104000,['12'],[1]
4,[],2,1114000,1127000,"['12', '13']",[2]
9,[],6,1129000,1251000,"['12', '13', '14']",[3]
1,[],16,1297000,1297000,"['12', '13', '14', '43']",[4]
3,"[['12', '24', '41']]",19,1321000,1366000,"['12', '14', '31', '43']",[5]
1,[],18,1398000,1398000,"['12', '31', '41', '43']",[6]
2,"[['12', '24', '41']]",19,1399000,1423000,"['12', '14', '31', '43']",[7]
5,[],18,1465000,1483000,"['12', '31', '41', '43']",[8]
1,"[['12', '24', '41']]",19,1595000,1595000,"['12', '14', '31', '43']",[9]
4,[],18,1597000,1639000,"['12', '31', '41', '43']",[10]
2,"[['12', '24', '41']]",19,1640000,1653000,"['12', '14', '31', '43']",[11]
3,[],16,1696000,2018000,"['12', '13', '14', '43']",[12]
1,"[['12', '24', '41']]",19,2786000,2786000,"['12', '14', '31', '43']",[13]
3,"[['12', '24', '41']]",23,2850000,4071000,"['14', '21', '31', '43']",[14]
2,"[['12', '24', '41']]",37,4073000,4076000,"['14', '21', '24', '31', '43']",[15]
5,"[['12', '24', '41']]",35,4095000,4523000,"['12', '14', '24', '31', '43']",[16]
2,[],32,4713000,4759000,"['12', '14', '24', '31', '34']",[17]
4,[],30,4815000,5571000,"['12', '13', '14', '24', '34']",[18]
297,[],38,5588000,150538000,"['12', '13', '14', '23', '24', '43']","[19, 20, 21, 22, 23, 24, 25, 26, 27]"
