start,end,count,Attacker,Victim,1,2,3,4
1413000.0,1441000.0,5,1,3,1.0,0.0,-1.0,0.0
1442000.0,1442000.0,1,4,2,1.0,-1.0,-1.0,1.0
1444000.0,1450000.0,3,3,1,0.25,-1.0,-0.25,1.0
1492000.0,1497000.0,2,2,1,-1.75,0.625,-0.875,2.0
2247000.0,2252000.0,3,3,1,-2.090909090909091,0.4545454545454546,-0.3636363636363637,2.0
2270000.0,2273000.0,2,1,3,-1.9230769230769231,0.5384615384615383,-0.6153846153846153,2.0
2770000.0,3007000.0,2,3,1,-2.0666666666666664,0.4666666666666668,-0.4,2.0
3816000.0,3816000.0,1,2,3,-2.6,2.0,-2.4000000000000004,3.0
3830000.0,3830000.0,1,3,1,-2.6875,2.0,-2.3125,3.0
3843000.0,3843000.0,1,1,3,-2.588235294117647,2.0,-2.4117647058823533,3.0
7050000.0,7059000.0,2,3,2,-2.5882352941176467,3.3306690738754696e-16,0.25490196078431393,2.333333333333333
7065000.0,7065000.0,1,3,1,-2.666666666666667,2.220446049250313e-16,0.3333333333333335,2.333333333333333
7305000.0,7305000.0,1,2,3,-2.666666666666667,0.5000000000000001,-0.33333333333333326,2.5
7311000.0,7326000.0,4,2,4,-1.8666666666666667,2.0999999999999996,0.46666666666666656,-0.7000000000000001
7331000.0,7331000.0,1,2,3,-1.8666666666666667,2.4000000000000004,0.0666666666666671,-0.6
8217000.0,8217000.0,1,4,2,-2.0,2.1333333333333337,-0.06666666666666643,-0.06666666666666676
8221000.0,8248000.0,6,2,4,-1.8333333333333333,2.466666666666667,0.10000000000000053,-0.7333333333333334
8256000.0,8266000.0,3,2,3,-1.8333333333333333,2.916666666666667,-0.4999999999999998,-0.5833333333333334
8277000.0,8277000.0,1,2,4,-1.8205128205128205,2.942307692307693,-0.487179487179487,-0.6346153846153846
8955000.0,8955000.0,1,1,2,-0.48717948717948745,1.9423076923076923,-0.487179487179487,-0.9679487179487178
8998000.0,8998000.0,1,2,3,-0.48717948717948745,2.025641025641025,-0.5982905982905984,-0.9401709401709402
9013000.0,9013000.0,1,2,1,-0.8205128205128209,2.2756410256410255,-0.5982905982905984,-0.8568376068376069
9122000.0,9122000.0,1,3,2,-0.8205128205128205,2.042307692307692,-0.28717948717948705,-0.9346153846153846
9126000.0,9140000.0,4,2,3,-0.8205128205128207,2.2994505494505493,-0.63003663003663,-0.848901098901099
9143000.0,9151000.0,3,2,1,-1.249084249084249,2.6208791208791204,-0.63003663003663,-0.7417582417582416
9176000.0,9652000.0,4,1,2,-0.002331002331002141,1.6858141858141855,-0.63003663003663,-1.0534465534465534
9679000.0,9679000.0,1,1,3,0.08538829591461194,1.6858141858141855,-0.7177559282822441,-1.0534465534465534
10404000.0,10404000.0,1,2,1,-0.06612685560053988,1.7994505494505497,-0.7177559282822439,-1.0155677655677655
10411000.0,10411000.0,1,1,2,0.11336032388664008,1.6648351648351647,-0.7177559282822439,-1.0604395604395604
10938000.0,10945000.0,2,3,2,0.11336032388663964,1.370192307692308,-0.3248987854251011,-1.1586538461538463
11221000.0,11221000.0,1,3,1,0.04230769230769216,1.3701923076923075,-0.25384615384615383,-1.1586538461538463
11258000.0,11258000.0,1,1,2,0.19615384615384612,1.2548076923076925,-0.2538461538461534,-1.1971153846153846
11459000.0,11459000.0,1,1,3,0.27472527472527464,1.2548076923076925,-0.3324175824175821,-1.1971153846153846
11461000.0,11461000.0,1,3,2,0.27472527472527486,1.133484162895928,-0.17065287653522931,-1.237556561085973
11464000.0,11636000.0,3,1,3,0.47115384615384626,1.1334841628959273,-0.36708144796380093,-1.237556561085973
11651000.0,11651000.0,1,1,4,1.6249999999999998,1.4796380090497734,0.09125188536953277,-3.1958898944193064
12000000.0,12000000.0,1,3,1,1.56,1.4796380090497743,0.17791855203619944,-3.217556561085973
12002000.0,12002000.0,1,1,3,1.6153846153846152,1.4796380090497738,0.10407239819004555,-3.1990950226244346
12059000.0,12059000.0,1,4,2,1.6153846153846145,1.2983193277310923,0.043632837750484876,-2.9573367808661923
12076000.0,12076000.0,1,1,4,1.6153846153846145,1.2983193277310923,0.043632837750484876,-2.9573367808661923
12392000.0,12392000.0,1,3,1,1.5555555555555554,1.2983193277310927,0.12340491752256444,-2.977279800809212
12731000.0,12731000.0,1,1,3,1.6071428571428568,1.2983193277310927,0.054621848739495826,-2.960084033613445
13260000.0,13260000.0,1,2,3,1.6071428571428568,1.3571428571428568,-0.023809523809523503,-2.9404761904761902
13485000.0,13497000.0,3,1,2,1.960084033613445,1.004201680672269,-0.023809523809523947,-2.9404761904761902
13598000.0,13598000.0,1,3,2,1.9600840336134455,0.8989385227775322,0.11654135338345872,-2.975563909774436
13647000.0,14277000.0,7,1,3,2.238655462184874,0.8989385227775322,-0.2548872180451127,-2.882706766917293
14356000.0,14362000.0,3,4,2,2.238655462184874,0.48297213622291024,-0.39354268022998684,-2.3280849181777974
14364000.0,14374000.0,2,4,1,0.738655462184874,0.48297213622291024,-0.8935426802299862,-0.32808491817779695
14389000.0,14407000.0,2,1,4,1.238655462184874,0.48297213622291046,-0.7268760135633199,-0.9947515848444641
