count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
5,13,null,[],1,2,1413000.0,1441000.0,['13'],"[5, 0, 0, 0]","[0, 0, 5, 0]",[5],"[1.0, 0.0, -1.0, 0.0]"
1,42,null,[],5,5,1442000.0,1442000.0,"['13', '42']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 1]","[1.0, -1.0, -1.0, 1.0]"
3,31,31,[],5,11,1444000.0,1450000.0,"['31', '42']","[0, 0, 3, 0]","[3, 0, 0, 0]","[3, 0]","[0.25, -1.0, -0.25, 1.0]"
5,21,null,[],13,8,1492000.0,2252000.0,"['31', '42', '21']","[0, 2, 3, 0]","[5, 0, 0, 0]","[3, 0, 2]","[-2.090909090909091, 0.4545454545454546, -0.3636363636363637, 2.0]"
2,13,13,[],15,8,2270000.0,2273000.0,"['13', '42', '21']","[2, 0, 0, 0]","[0, 0, 2, 0]","[2, 0, 0]","[-1.9230769230769231, 0.5384615384615383, -0.6153846153846153, 2.0]"
2,31,31,[],13,8,2770000.0,3007000.0,"['31', '42', '21']","[0, 0, 2, 0]","[2, 0, 0, 0]","[2, 0, 0]","[-2.0666666666666664, 0.4666666666666668, -0.4, 2.0]"
2,23,null,[],20,14,3816000.0,3830000.0,"['31', '42', '21', '23']","[0, 1, 1, 0]","[1, 0, 1, 0]","[1, 0, 0, 1]","[-2.6875, 2.0, -2.3125, 3.0]"
1,13,13,[],20,20,3843000.0,3843000.0,"['13', '42', '21', '23']","[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]","[-2.588235294117647, 2.0, -2.4117647058823533, 3.0]"
2,32,32,"[['13', '21', '32']]",23,20,7050000.0,7059000.0,"['13', '42', '21', '32']","[0, 0, 2, 0]","[0, 2, 0, 0]","[0, 0, 0, 2]","[-2.5882352941176467, 3.3306690738754696e-16, 0.25490196078431393, 2.333333333333333]"
1,31,31,[],21,14,7065000.0,7065000.0,"['31', '42', '21', '32']","[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]","[-2.666666666666667, 2.220446049250313e-16, 0.3333333333333335, 2.333333333333333]"
1,23,23,[],20,14,7305000.0,7305000.0,"['31', '42', '21', '23']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 1]","[-2.666666666666667, 0.5000000000000001, -0.33333333333333326, 2.5]"
5,24,24,[],16,14,7311000.0,7331000.0,"['31', '24', '21', '23']","[0, 5, 0, 0]","[0, 0, 1, 4]","[0, 4, 0, 1]","[-1.8666666666666667, 2.4000000000000004, 0.0666666666666671, -0.6]"
1,42,42,[],20,14,8217000.0,8217000.0,"['31', '42', '21', '23']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 1, 0, 0]","[-2.0, 2.1333333333333337, -0.06666666666666643, -0.06666666666666676]"
10,24,24,[],16,14,8221000.0,8277000.0,"['31', '24', '21', '23']","[0, 10, 0, 0]","[0, 0, 3, 7]","[0, 7, 0, 3]","[-1.8205128205128205, 2.942307692307693, -0.487179487179487, -0.6346153846153846]"
2,12,12,"[['12', '23', '31']]",19,14,8955000.0,8998000.0,"['31', '24', '12', '23']","[1, 1, 0, 0]","[0, 1, 1, 0]","[0, 0, 1, 1]","[-0.48717948717948745, 2.025641025641025, -0.5982905982905984, -0.9401709401709402]"
1,21,21,[],16,14,9013000.0,9013000.0,"['31', '24', '21', '23']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]","[-0.8205128205128209, 2.2756410256410255, -0.5982905982905984, -0.8568376068376069]"
1,32,32,[],17,14,9122000.0,9122000.0,"['31', '24', '21', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 1]","[-0.8205128205128205, 2.042307692307692, -0.28717948717948705, -0.9346153846153846]"
7,23,23,[],16,14,9126000.0,9151000.0,"['31', '24', '21', '23']","[0, 7, 0, 0]","[3, 0, 4, 0]","[0, 0, 3, 4]","[-1.249084249084249, 2.6208791208791204, -0.63003663003663, -0.7417582417582416]"
4,12,12,"[['12', '23', '31']]",19,14,9176000.0,9652000.0,"['31', '24', '12', '23']","[4, 0, 0, 0]","[0, 4, 0, 0]","[0, 0, 4, 0]","[-0.002331002331002141, 1.6858141858141855, -0.63003663003663, -1.0534465534465534]"
1,13,13,[],17,20,9679000.0,9679000.0,"['13', '24', '12', '23']","[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]","[0.08538829591461194, 1.6858141858141855, -0.7177559282822441, -1.0534465534465534]"
1,21,21,[],16,20,10404000.0,10404000.0,"['13', '24', '21', '23']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]","[-0.06612685560053988, 1.7994505494505497, -0.7177559282822439, -1.0155677655677655]"
1,12,12,[],17,20,10411000.0,10411000.0,"['13', '24', '12', '23']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 1, 0]","[0.11336032388664008, 1.6648351648351647, -0.7177559282822439, -1.0604395604395604]"
2,32,32,[],18,20,10938000.0,10945000.0,"['13', '24', '12', '32']","[0, 0, 2, 0]","[0, 2, 0, 0]","[0, 0, 0, 2]","[0.11336032388663964, 1.370192307692308, -0.3248987854251011, -1.1586538461538463]"
2,31,31,[],18,14,11221000.0,11258000.0,"['31', '24', '12', '32']","[1, 0, 1, 0]","[1, 1, 0, 0]","[1, 0, 1, 0]","[0.19615384615384612, 1.2548076923076925, -0.2538461538461534, -1.1971153846153846]"
5,13,13,[],18,20,11459000.0,11636000.0,"['13', '24', '12', '32']","[4, 0, 1, 0]","[0, 1, 4, 0]","[4, 0, 0, 1]","[0.47115384615384626, 1.1334841628959273, -0.36708144796380093, -1.237556561085973]"
1,14,null,[],29,5,11651000.0,11651000.0,"['13', '24', '12', '32', '14']","[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1.6249999999999998, 1.4796380090497734, 0.09125188536953277, -3.1958898944193064]"
1,31,31,[],31,5,12000000.0,12000000.0,"['31', '24', '12', '32', '14']","[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1.56, 1.4796380090497743, 0.17791855203619944, -3.217556561085973]"
1,13,13,[],29,5,12002000.0,12002000.0,"['13', '24', '12', '32', '14']","[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0, 0]","[1.6153846153846152, 1.4796380090497738, 0.10407239819004555, -3.1990950226244346]"
2,42,42,[],30,3,12059000.0,12076000.0,"['13', '42', '12', '32', '14']","[1, 0, 0, 1]","[0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1.6153846153846145, 1.2983193277310923, 0.043632837750484876, -2.9573367808661923]"
1,31,31,[],32,6,12392000.0,12392000.0,"['31', '42', '12', '32', '14']","[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1.5555555555555554, 1.2983193277310927, 0.12340491752256444, -2.977279800809212]"
1,13,13,[],30,3,12731000.0,12731000.0,"['13', '42', '12', '32', '14']","[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0, 0]","[1.6071428571428568, 1.2983193277310927, 0.054621848739495826, -2.960084033613445]"
4,23,23,[],29,6,13260000.0,13497000.0,"['13', '42', '12', '23', '14']","[3, 1, 0, 0]","[0, 3, 1, 0]","[0, 0, 3, 1, 0]","[1.960084033613445, 1.004201680672269, -0.023809523809523947, -2.9404761904761902]"
11,32,32,[],30,3,13598000.0,14362000.0,"['13', '42', '12', '32', '14']","[7, 0, 1, 3]","[0, 4, 7, 0]","[7, 3, 0, 1, 0]","[2.238655462184874, 0.48297213622291024, -0.39354268022998684, -2.3280849181777974]"
2,41,41,[],32,5,14364000.0,14374000.0,"['13', '42', '12', '32', '41']","[0, 0, 0, 2]","[2, 0, 0, 0]","[0, 0, 0, 0, 2]","[0.738655462184874, 0.48297213622291024, -0.8935426802299862, -0.32808491817779695]"
6,14,14,[],30,3,14389000.0,15043000.0,"['13', '42', '12', '32', '14']","[6, 0, 0, 0]","[0, 0, 4, 2]","[4, 0, 0, 0, 2]","[1.3529411764705885, 0.48297213622291, -0.8792569659442724, -0.956656346749226]"
6,24,24,[],29,5,15622000.0,15638000.0,"['13', '24', '12', '32', '14']","[0, 6, 0, 0]","[0, 0, 0, 6]","[0, 6, 0, 0, 0]","[1.3529411764705885, 0.7591869699825011, -0.7871853546910756, -1.3249427917620136]"
5,21,21,"[['13', '21', '32']]",34,19,15644000.0,15830000.0,"['13', '24', '21', '32', '14']","[4, 1, 0, 0]","[1, 0, 4, 0]","[4, 0, 1, 0, 0]","[1.3152454780361755, 0.8899059242308667, -0.9112163624430138, -1.2939350398240292]"
23,12,12,[],29,5,16127000.0,19815000.0,"['13', '24', '12', '32', '14']","[20, 3, 0, 0]","[0, 12, 6, 5]","[6, 3, 12, 0, 2]","[2.3874149659863946, 0.26909581646423764, -0.9458605304469969, -1.7106502520036353]"
4,23,23,[],28,3,19825000.0,20104000.0,"['13', '24', '12', '23', '14']","[0, 4, 0, 0]","[0, 0, 1, 3]","[0, 3, 0, 1, 0]","[2.387414965986394, 0.39597701149425313, -0.9956720619282196, -1.7877199155524277]"
4,21,21,[],28,10,20112000.0,20123000.0,"['13', '24', '21', '23', '14']","[0, 4, 0, 0]","[4, 0, 0, 0]","[0, 0, 4, 0, 0]","[2.0423169267707086, 0.7410750507099393, -0.9956720619282196, -1.787719915552428]"
3,32,32,"[['13', '21', '32']]",34,19,20142000.0,20364000.0,"['13', '24', '21', '32', '14']","[2, 0, 1, 0]","[0, 1, 2, 0]","[2, 0, 0, 1, 0]","[2.0735294117647056, 0.6482179078527963, -0.9134791847773593, -1.8082681348401428]"
4,12,12,[],29,5,21389000.0,22043000.0,"['13', '24', '12', '32', '14']","[4, 0, 0, 0]","[0, 2, 2, 0]","[2, 0, 2, 0, 0]","[2.180817610062893, 0.5697865353037772, -0.9519549524429163, -1.7986491929237538]"
4,23,23,[],28,3,22062000.0,22093000.0,"['13', '24', '12', '23', '14']","[0, 4, 0, 0]","[0, 0, 4, 0]","[0, 0, 0, 4, 0]","[2.1808176100628938, 0.7526436781609203, -1.1957644762524398, -1.7376968119713727]"
4,21,21,[],28,10,22110000.0,22122000.0,"['13', '24', '21', '23', '14']","[0, 4, 0, 0]","[4, 0, 0, 0]","[0, 0, 4, 0, 0]","[1.9141509433962265, 1.0193103448275862, -1.19576447625244, -1.7376968119713727]"
8,12,12,[],28,3,23764000.0,24988000.0,"['13', '24', '12', '23', '14']","[8, 0, 0, 0]","[0, 6, 0, 2]","[0, 0, 6, 0, 2]","[2.272846595570139, 0.810614692653673, -1.14576447625244, -1.937696811971373]"
4,34,null,[],38,1,25021000.0,26971000.0,"['13', '24', '12', '23', '14', '34']","[3, 0, 1, 0]","[0, 2, 0, 2]","[0, 0, 2, 0, 1, 1]","[2.9582618639222424, 1.225747126436782, 0.26113207547169814, -4.445141065830721]"
1,21,21,[],38,7,26973000.0,26973000.0,"['13', '24', '21', '23', '14', '34']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[2.9038400952147585, 1.2801688951442647, 0.2611320754716986, -4.445141065830721]"
44,12,12,[],38,1,26979000.0,30434000.0,"['13', '24', '12', '23', '14', '34']","[44, 0, 0, 0]","[0, 32, 0, 12]","[0, 0, 32, 0, 12, 0]","[3.8315356647322742, 0.731919965942954, 0.26113207547169814, -4.824587706146927]"
2,43,43,[],38,2,45167000.0,45172000.0,"['13', '24', '12', '23', '14', '43']","[0, 0, 0, 2]","[0, 0, 2, 0]","[0, 0, 0, 0, 0, 2]","[3.8315356647322742, 0.731919965942954, -2.405534591194969, -2.15792103948026]"
2,34,34,[],38,1,45184000.0,45185000.0,"['13', '24', '12', '23', '14', '34']","[0, 0, 2, 0]","[0, 0, 0, 2]","[0, 0, 0, 0, 0, 2]","[3.831535664732274, 0.7319199659429547, -1.338867924528302, -3.2245877061469264]"
1,43,43,[],38,2,45187000.0,45187000.0,"['13', '24', '12', '23', '14', '43']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 1]","[3.8315356647322742, 0.7319199659429545, -1.7388679245283019, -2.824587706146927]"
1,34,34,[],38,1,45209000.0,45209000.0,"['13', '24', '12', '23', '14', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[3.831535664732274, 0.7319199659429545, -1.4531536388140165, -3.1103019918612125]"
8,43,43,[],38,2,45507000.0,91131000.0,"['13', '24', '12', '23', '14', '43']","[6, 1, 0, 1]","[0, 0, 1, 7]","[0, 1, 0, 0, 6, 1]","[3.9034996827232784, 0.7595061728395063, -1.7388679245283019, -2.924137931034483]"
3,21,21,[],38,8,91150000.0,103826000.0,"['13', '24', '21', '23', '14', '43']","[1, 2, 0, 0]","[2, 0, 1, 0]","[1, 0, 2, 0, 0, 0]","[3.8455123174691104, 0.8356626506024099, -1.7570370370370374, -2.924137931034483]"
16,12,12,[],38,2,107393000.0,133574000.0,"['13', '24', '12', '23', '14', '43']","[11, 5, 0, 0]","[0, 5, 1, 10]","[1, 5, 5, 0, 5, 0]","[3.9556149732620334, 0.8979220779220782, -1.7745454545454544, -3.0789915966386556]"
