Time,Attacker,Victim,Attack Type,1,2,3,4
1012000,2,1,M,-1.0,1.0,0.0,0.0
1019000,2,1,C,-1.0,1.0,0.0,0.0
1023000,2,1,F,-1.0,1.0,0.0,0.0
1048000,2,1,F,-1.0,1.0,0.0,0.0
1394000,1,3,F,0.0,2.0,-2.0,0.0
1424000,1,2,S,0.3999999999999998,1.4,-1.8,0.0
1444000,1,2,F,0.6666666666666665,0.9999999999999999,-1.6666666666666665,0.0
2437000,1,2,F,0.8571428571428573,0.7142857142857143,-1.5714285714285714,0.0
2463000,1,4,F,1.857142857142857,1.2857142857142856,-1.5714285714285714,-1.5714285714285714
2470000,2,4,S,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2487000,1,4,F,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2489000,1,4,F,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2491000,1,4,F,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2497000,1,4,F,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2550000,1,3,M,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2556000,1,3,M,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2560000,1,3,S,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
3234000,1,2,M,2.5,2.0,-1.5,-3.0
3250000,2,1,C,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3284000,1,3,F,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3288000,1,3,F,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3297000,1,3,F,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3309000,2,1,F,2.2,2.4000000000000004,-1.6,-3.0
3321000,1,3,F,2.2,2.4000000000000004,-1.6,-3.0
3340000,2,1,C,2.0909090909090913,2.5454545454545454,-1.6363636363636362,-3.0
3351000,2,1,C,1.9999999999999996,2.666666666666666,-1.6666666666666665,-3.0
3352000,1,3,F,1.9999999999999996,2.666666666666666,-1.6666666666666665,-3.0
3357000,2,1,M,1.9230769230769227,2.769230769230769,-1.6923076923076923,-3.0
3374000,2,1,F,1.857142857142857,2.8571428571428577,-1.7142857142857144,-3.0
3381000,2,3,S,2.1428571428571423,3.8571428571428577,-3.0,-3.0
3387000,1,2,F,2.333333333333333,3.6666666666666656,-3.0,-3.0
3396000,1,2,F,2.5,3.5,-3.0,-3.0
3402000,1,2,F,2.6470588235294112,3.352941176470588,-3.0,-3.0
3404000,1,2,C,2.7777777777777777,3.2222222222222223,-3.0,-3.0
