Time,Attacker,Victim,Attack Type,2,4,1,3
84000,4,2,T,-1.0,1.0,0.0,0.0
87000,2,1,T,0.0,2.0,-2.0,0.0
94000,2,1,T,0.0,2.0,-2.0,0.0
96000,3,4,T,-1.0,1.0,-2.0,2.0
103000,3,1,T,-1.0,1.0,-3.0,3.0
129000,4,2,T,-1.0,1.0,-3.0,3.0
132000,4,1,T,-1.0,2.0,-5.0,4.0
138000,4,3,T,-0.5,3.5,-5.0,2.0
141000,4,2,T,-0.5,3.5,-5.0,2.0
158000,4,2,T,-0.5,3.5,-5.0,2.0
160000,4,2,T,-0.5,3.5,-5.0,2.0
163000,4,1,T,-0.5,3.5,-5.0,2.0
165000,4,2,T,-0.5,3.5,-5.0,2.0
165000,4,2,T,-0.5,3.5,-5.0,2.0
169000,4,2,T,-0.5,3.5,-5.0,2.0
170000,4,2,T,-0.5,3.5,-5.0,2.0
175000,4,2,T,-0.5,3.5,-5.0,2.0
181000,2,1,T,-0.5,3.5,-5.0,2.0
187000,4,2,T,-0.5,3.5,-5.0,2.0
188000,4,1,C,-0.5,3.5,-5.0,2.0
198000,4,1,T,-0.5,3.5,-5.0,2.0
207000,4,2,T,-0.5,3.5,-5.0,2.0
211000,4,1,T,-0.5,3.5,-5.0,2.0
219000,4,1,T,-0.5,3.5,-5.0,2.0
229000,4,1,T,-0.5,3.5,-5.0,2.0
234000,4,1,T,-0.5,3.5,-5.0,2.0
253000,4,1,T,-0.5,3.5,-5.0,2.0
258000,4,2,T,-0.5,3.5,-5.0,2.0
263000,4,1,T,-0.5,3.5,-5.0,2.0
264000,4,1,T,-0.5,3.5,-5.0,2.0
270000,4,2,T,-0.5,3.5,-5.0,2.0
284000,1,2,T,-1.5,3.5,-4.25,2.25
312000,1,2,T,-2.1,3.5,-3.8,2.4
314000,1,2,T,-2.5,3.5,-3.5,2.5
316000,1,3,T,-2.0,3.5,-2.0,0.5
318000,1,2,T,-2.2857142857142856,3.5,-1.7857142857142858,0.5714285714285712
321000,1,4,T,-2.285714285714286,3.166666666666666,-1.452380952380953,0.5714285714285712
321000,1,3,T,-2.119047619047619,3.1666666666666665,-0.9523809523809526,-0.09523809523809534
327000,1,4,T,-2.119047619047619,2.884615384615385,-0.6703296703296706,-0.0952380952380949
347000,1,2,T,-2.3333333333333335,2.884615384615384,-0.5096153846153846,-0.04166666666666674
350000,1,2,T,-2.5,2.884615384615385,-0.38461538461538414,2.220446049250313e-16
357000,1,3,T,-2.4166666666666665,2.8846153846153846,-0.13461538461538458,-0.33333333333333326
363000,1,2,T,-2.55,2.8846153846153846,-0.034615384615384714,-0.30000000000000004
376000,1,3,T,-2.5,2.884615384615385,0.11538461538461497,-0.5
381000,1,3,T,-2.466666666666667,2.884615384615385,0.21538461538461529,-0.6333333333333335
398000,1,4,T,-2.466666666666667,2.6428571428571432,0.45714285714285663,-0.633333333333334
399000,1,2,T,-2.575757575757576,2.642857142857142,0.5389610389610389,-0.6060606060606064
404000,1,2,T,-2.6666666666666665,2.6428571428571423,0.6071428571428574,-0.5833333333333335
404000,1,2,T,-2.7435897435897436,2.6428571428571423,0.6648351648351645,-0.5641025641025643
407000,1,2,T,-2.8095238095238093,2.6428571428571423,0.7142857142857144,-0.5476190476190477
428000,1,3,T,-2.7857142857142856,2.642857142857143,0.785714285714286,-0.6428571428571428
428000,1,4,T,-2.7857142857142856,2.4333333333333327,0.9952380952380957,-0.642857142857143
435000,1,2,T,-2.8428571428571425,2.4333333333333327,1.0380952380952377,-0.6285714285714286
439000,1,3,T,-2.825,2.4333333333333336,1.0916666666666661,-0.7
463000,1,4,T,-2.825,2.25,1.2749999999999997,-0.6999999999999997
466000,1,2,T,-2.875,2.25,1.3125,-0.6875
470000,1,4,T,-2.875,2.0882352941176467,1.4742647058823528,-0.6875
474000,1,3,T,-2.861111111111111,2.0882352941176467,1.5159313725490196,-0.7430555555555554
475000,1,3,T,-2.85,2.0882352941176467,1.549264705882353,-0.7875000000000001
480000,1,2,T,-2.8941176470588235,2.088235294117647,1.5823529411764703,-0.776470588235294
481000,1,2,T,-2.9333333333333336,2.0882352941176476,1.611764705882353,-0.7666666666666666
486000,1,3,T,-2.9242424242424248,2.0882352941176467,1.6390374331550799,-0.8030303030303032
493000,1,4,T,-2.9242424242424248,1.9444444444444446,1.7828282828282829,-0.8030303030303032
497000,1,3,T,-2.916666666666667,1.9444444444444449,1.8055555555555556,-0.833333333333333
499000,1,3,T,-2.9102564102564106,1.9444444444444446,1.8247863247863247,-0.8589743589743593
508000,2,4,T,-2.6435897435897435,1.7444444444444442,1.8247863247863245,-0.9256410256410259
