start,end,count,Attacker,Victim,1,2,3,4
199000,202000,2,1,2,1.0,-1.0,0.0,0.0
222000,222000,1,1,4,2.0,-1.0,0.0,-1.0
2584000,2584000,1,1,3,3.0,-1.0,-1.0,-1.0
2765000,2814000,2,4,2,4.0,-3.0,-1.0,0.0
2831000,2835000,3,1,2,4.0,-3.0,-1.0,0.0
2838000,2838000,1,1,4,4.0,-3.0,-1.0,0.0
2847000,2872000,3,1,2,4.0,-3.0,-1.0,0.0
2876000,2876000,1,2,4,4.0,-1.9999999999999998,-1.0,-0.9999999999999999
2877000,2885000,3,2,3,5.0,-1.0,-3.6666666666666665,-0.33333333333333337
2888000,2888000,1,2,4,5.0,-0.5,-3.5,-1.0
2894000,3011000,5,2,3,5.0,-0.5,-3.5,-1.0
3019000,3019000,1,4,3,6.0,0.0,-6.0,0.0
3024000,3024000,1,3,2,6.0,-0.44444444444444464,-5.555555555555555,-2.220446049250313e-16
3025000,3026000,2,2,3,6.0,-0.3636363636363633,-5.636363636363637,0.0
3030000,3062000,8,3,2,6.0,-1.8947368421052633,-4.105263157894737,-3.3306690738754696e-16
3063000,3063000,1,1,3,6.0,-1.8947368421052633,-4.105263157894737,-3.3306690738754696e-16
3067000,3071000,2,2,3,6.0,-1.7142857142857142,-4.285714285714286,1.1102230246251565e-16
3084000,3109000,2,2,4,6.0,-1.0476190476190474,-4.285714285714285,-0.6666666666666665
3116000,3124000,4,2,1,4.666666666666667,0.28571428571428603,-4.285714285714285,-0.6666666666666665
3128000,3131000,2,2,4,4.666666666666666,0.6190476190476186,-4.285714285714286,-1.0
3134000,3135000,2,2,3,4.666666666666666,0.7681159420289854,-4.434782608695652,-1.0
3136000,3155000,4,2,4,4.666666666666668,1.1014492753623186,-4.434782608695652,-1.3333333333333335
3158000,3186000,3,2,1,4.133333333333334,1.634782608695653,-4.434782608695652,-1.3333333333333335
3238000,3255000,6,4,1,1.1333333333333329,1.6347826086956514,-4.434782608695652,1.666666666666666
3261000,3261000,1,2,1,1.0,1.768115942028986,-4.434782608695652,1.6666666666666665
3304000,3304000,1,4,1,0.8888888888888891,1.7681159420289863,-4.434782608695652,1.777777777777778
3306000,3306000,1,2,1,0.7712418300653594,1.8857630008525148,-4.434782608695652,1.777777777777778
3329000,3329000,1,3,1,-0.5620915032679741,1.8857630008525152,-3.101449275362319,1.7777777777777783
