count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,12,null,[],1,1,64000,64000,['12'],"[1, 0, 0, 0]","[0, 1, 0, 0]",[1],"[1.0, -1.0, 0.0, 0.0]"
1,23,null,[],3,13,72000,72000,"['12', '23']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1]","[2.0, 0.0, -2.0, 0.0]"
1,21,21,[],2,4,82000,82000,"['21', '23']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0]","[0.5, 1.0, -1.5, 0.0]"
1,14,null,[],14,7,108000,108000,"['21', '23', '14']","[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 1]","[1.5, 1.5, -1.5, -1.5]"
2,42,null,"[['14', '21', '42']]",19,19,115000,119000,"['21', '23', '14', '42']","[1, 0, 0, 1]","[0, 1, 0, 1]","[0, 0, 1, 1]","[2.0, -0.5, -2.5, 1.0]"
1,24,24,[],16,19,119000,119000,"['21', '23', '14', '24']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]","[2.0, 1.0, -2.0, -1.0]"
4,13,null,[],28,10,121000,132000,"['21', '23', '14', '24', '13']","[2, 2, 0, 0]","[1, 0, 1, 2]","[1, 0, 1, 1, 1]","[2.333333333333333, 2.6666666666666665, -3.333333333333333, -1.6666666666666667]"
2,42,42,"[['14', '21', '42']]",34,20,139000,142000,"['21', '23', '14', '42', '13']","[1, 0, 0, 1]","[0, 1, 0, 1]","[0, 0, 1, 1, 0]","[2.3333333333333335, 2.166666666666666, -3.5, -1.0]"
2,12,12,[],29,6,145000,148000,"['12', '23', '14', '42', '13']","[2, 0, 0, 0]","[0, 2, 0, 0]","[2, 0, 0, 0, 0]","[3.4000000000000004, 1.0999999999999999, -3.5, -1.0]"
5,24,24,[],28,3,150000,158000,"['12', '23', '14', '24', '13']","[2, 3, 0, 0]","[0, 0, 0, 5]","[0, 0, 2, 3, 0]","[3.4000000000000004, 1.7428571428571433, -3.2857142857142856, -1.8571428571428572]"
2,42,42,[],29,6,161000,165000,"['12', '23', '14', '42', '13']","[1, 0, 0, 1]","[0, 2, 0, 0]","[1, 0, 0, 1, 0]","[3.666666666666666, 1.2083333333333335, -3.375, -1.4999999999999998]"
3,24,24,[],28,3,167000,179000,"['12', '23', '14', '24', '13']","[1, 2, 0, 0]","[0, 1, 0, 2]","[1, 0, 0, 2, 0]","[3.857142857142857, 1.2428571428571424, -3.3, -1.7999999999999998]"
3,21,21,[],28,10,181000,185000,"['21', '23', '14', '24', '13']","[1, 2, 0, 0]","[1, 0, 1, 1]","[1, 1, 1, 0, 0]","[3.5, 1.6000000000000003, -3.3, -1.7999999999999998]"
4,32,32,"[['13', '21', '32']]",34,19,191000,201000,"['21', '32', '14', '24', '13']","[2, 1, 1, 0]","[0, 1, 0, 3]","[0, 1, 2, 1, 0]","[3.4999999999999996, 0.6818181818181821, -1.9393939393939392, -2.2424242424242427]"
1,12,12,[],29,5,205000,205000,"['12', '32', '14', '24', '13']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0, 0, 0]","[3.6666666666666665, 0.5151515151515154, -1.9393939393939392, -2.242424242424242]"
2,21,21,"[['13', '21', '32']]",34,19,207000,214000,"['21', '32', '14', '24', '13']","[1, 1, 0, 0]","[1, 0, 1, 0]","[1, 0, 0, 0, 1]","[3.4, 0.7818181818181822, -1.9393939393939392, -2.2424242424242427]"
1,42,42,"[['14', '21', '42'], ['13', '21', '32']]",36,3,227000,227000,"['21', '32', '14', '42', '13']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1, 0]","[3.4, 0.6000000000000005, -2.0, -2.0]"
4,24,24,"[['13', '21', '32']]",34,19,228000,237000,"['21', '32', '14', '24', '13']","[1, 3, 0, 0]","[1, 0, 0, 3]","[1, 0, 1, 2, 0]","[3.1818181818181817, 0.9610389610389607, -1.9523809523809523, -2.1904761904761907]"
