Time,Attacker,Victim,Attack Type,4,1,3,2
1020000,1,4,M,-1.0,1.0,0.0,0.0
1023000,1,4,C,-1.0,1.0,0.0,0.0
1139000,1,4,M,-1.0,1.0,0.0,0.0
1367000,1,3,M,-1.0,2.0,-1.0,0.0
1379000,1,3,M,-1.0,2.0,-1.0,0.0
1386000,1,3,C,-1.0,2.0,-1.0,0.0
2021000,1,3,M,-1.0,2.0,-1.0,0.0
2027000,1,3,S,-1.0,2.0,-1.0,0.0
2029000,1,3,F,-1.0,2.0,-1.0,0.0
2033000,1,3,F,-1.0,2.0,-1.0,0.0
2039000,1,3,M,-1.0,2.0,-1.0,0.0
2054000,1,4,M,-1.0,2.0,-1.0,0.0
3808000,1,4,S,-1.0,2.0,-1.0,0.0
3816000,1,3,F,-1.0,2.0,-1.0,0.0
3819000,1,3,F,-1.0,2.0,-1.0,0.0
3822000,1,3,F,-1.0,2.0,-1.0,0.0
13836000,1,2,F,-1.0,3.0,-1.0,-1.0
14205000,1,3,M,-1.0,3.0,-1.0,-1.0
14212000,1,3,M,-1.0,3.0,-1.0,-1.0
14215000,1,3,F,-1.0,3.0,-1.0,-1.0
14220000,1,3,F,-1.0,3.0,-1.0,-1.0
14222000,1,3,F,-1.0,3.0,-1.0,-1.0
14223000,1,3,F,-1.0,3.0,-1.0,-1.0
15412000,1,2,C,-1.0,3.0,-1.0,-1.0
18408000,4,2,R,0.0,4.0,-1.0,-3.0
18534000,1,2,C,0.0,4.0,-1.0,-3.0
18567000,4,3,M,1.0,5.0,-3.0,-3.0
18730000,1,4,M,1.0,5.0,-3.0,-3.0
19019000,1,3,F,1.0,5.0,-3.0,-3.0
19023000,1,3,F,1.0,5.0,-3.0,-3.0
19027000,1,3,F,1.0,5.0,-3.0,-3.0
19031000,1,3,F,1.0,5.0,-3.0,-3.0
19035000,1,3,F,1.0,5.0,-3.0,-3.0
19037000,1,3,F,1.0,5.0,-3.0,-3.0
19040000,1,3,F,1.0,5.0,-3.0,-3.0
19044000,1,3,F,1.0,5.0,-3.0,-3.0
19047000,1,3,C,1.0,5.0,-3.0,-3.0
19049000,1,2,F,1.0,5.0,-3.0,-3.0
19050000,1,3,S,1.0,5.0,-3.0,-3.0
19054000,2,1,C,1.0000000000000002,4.3999999999999995,-3.2,-2.2
19058000,2,1,C,1.0000000000000002,4.000000000000001,-3.333333333333333,-1.6666666666666667
