count,intransitive,stateMatch,start,end,states,idxs
2,[],1,463000.0,466000.0,['12'],[1]
6,[],2,471000.0,1081000.0,"['12', '13']",[2]
45,[],6,1085000.0,2307000.0,"['12', '13', '14']",[3]
166,[],16,2311000.0,11355000.0,"['12', '13', '14', '43']",[4]
170,[],28,11358000.0,20644000.0,"['12', '13', '14', '42', '43']",[5]
69,[],38,20795000.0,25846000.0,"['12', '13', '14', '23', '24', '43']","[6, 7]"
9,"[['14', '21', '42'], ['13', '21', '32']]",41,26014000.0,26604000.0,"['12', '13', '24', '32', '41', '43']",[8]
29,[],38,26694000.0,27841000.0,"['12', '13', '14', '23', '24', '43']",[9]
2,"[['14', '21', '42'], ['13', '21', '32']]",41,27883000.0,27886000.0,"['12', '13', '24', '32', '41', '43']",[10]
2,"[['13', '21', '32']]",40,27889000.0,27890000.0,"['12', '13', '23', '24', '41', '43']",[11]
3,[],38,27897000.0,27925000.0,"['12', '13', '14', '23', '24', '43']",[12]
15,"[['13', '21', '32']]",40,28061000.0,28378000.0,"['12', '13', '23', '24', '41', '43']",[13]
2,[],38,28379000.0,28405000.0,"['12', '13', '14', '23', '24', '43']",[14]
21,"[['13', '21', '32']]",40,28519000.0,29439000.0,"['12', '13', '23', '24', '41', '43']",[15]
28,[],38,29498000.0,30982000.0,"['12', '13', '14', '23', '24', '43']",[16]
1,"[['13', '21', '32']]",40,31010000.0,31010000.0,"['12', '13', '23', '24', '41', '43']",[17]
1,[],38,31018000.0,31018000.0,"['12', '13', '14', '23', '24', '43']",[18]
6,"[['13', '21', '32']]",40,31125000.0,31971000.0,"['12', '13', '23', '24', '41', '43']",[19]
8,[],38,32050000.0,32154000.0,"['12', '13', '14', '23', '24', '43']",[20]
2,"[['13', '21', '32']]",40,32194000.0,32299000.0,"['12', '13', '23', '24', '41', '43']",[21]
3,[],38,32300000.0,32314000.0,"['12', '13', '14', '23', '24', '43']",[22]
1,"[['13', '21', '32']]",40,32332000.0,32332000.0,"['12', '13', '23', '24', '41', '43']",[23]
13,[],38,32337000.0,33528000.0,"['12', '13', '14', '23', '24', '43']",[24]
1,"[['13', '21', '32']]",40,33820000.0,33820000.0,"['12', '13', '23', '24', '41', '43']",[25]
125,[],38,33894000.0,43817000.0,"['12', '13', '14', '23', '24', '43']","[26, 27, 28, 29]"
60,"[['23', '34', '42']]",39,44145000.0,103026000.0,"['12', '13', '14', '24', '32', '43']",[30]
80,[],38,103961000.0,172498000.0,"['12', '13', '14', '23', '24', '43']","[31, 32, 33, 34, 35, 36, 37]"
