count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,14,null,[],1,3,1226000,1226000,['14'],"[1, 0, 0, 0]","[0, 0, 0, 1]",[1],"[1.0, 0.0, 0.0, -1.0]"
1,12,null,[],2,2,1246000,1246000,"['14', '12']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[2.0, -1.0, 0.0, -1.0]"
1,34,null,[],12,4,1312000,1312000,"['14', '12', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1]","[2.0, -1.0, 1.0, -2.0]"
3,43,43,[],14,4,1717000,1726000,"['14', '12', '43']","[2, 0, 0, 1]","[0, 1, 1, 1]","[1, 1, 1]","[2.5, -1.0, -0.5, -1.0]"
1,31,null,"[['14', '31', '43']]",19,1,1754000,1754000,"['14', '12', '43', '31']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 1]","[1.0, -2.0, 2.5, -1.5]"
1,32,null,"[['14', '31', '43']]",34,23,1758000,1758000,"['14', '12', '43', '31', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 1]","[1.0, -3.5, 3.5, -1.0]"
1,13,13,[],29,4,1777000,1777000,"['14', '12', '43', '13', '32']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 1, 0]","[3.0, -3.5, 1.5, -1.0]"
1,34,34,[],28,2,2102000,2102000,"['14', '12', '34', '13', '32']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0, 0]","[3.0, -3.333333333333333, 2.0, -1.6666666666666665]"
1,31,31,[],28,11,2423000,2423000,"['14', '12', '34', '31', '32']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0]","[2.333333333333333, -3.333333333333333, 2.6666666666666665, -1.6666666666666667]"
6,13,13,[],28,2,2563000,6856000,"['14', '12', '34', '13', '32']","[5, 0, 1, 0]","[0, 0, 4, 2]","[1, 0, 1, 4, 0]","[3.857142857142857, -3.25, 1.3928571428571426, -2.0]"
13,31,31,[],28,11,8186000,16123000,"['14', '12', '34', '31', '32']","[3, 0, 10, 0]","[5, 3, 0, 5]","[0, 3, 5, 5, 0]","[2.6666666666666674, -3.111111111111111, 3.000000000000001, -2.5555555555555554]"
20,13,13,[],28,2,16335000,18463000,"['14', '12', '34', '13', '32']","[20, 0, 0, 0]","[0, 17, 3, 0]","[0, 17, 0, 3, 0]","[3.1333333333333333, -3.111111111111111, 2.5333333333333337, -2.5555555555555554]"
4,31,31,[],28,11,19502000,19674000,"['14', '12', '34', '31', '32']","[0, 0, 4, 0]","[3, 1, 0, 0]","[0, 0, 0, 3, 1]","[2.777777777777778, -3.111111111111111, 2.8888888888888897, -2.5555555555555554]"
1,13,13,[],28,2,20029000,20029000,"['14', '12', '34', '13', '32']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 1, 0]","[2.8947368421052637, -3.111111111111111, 2.7719298245614032, -2.5555555555555554]"
5,31,31,[],28,11,20037000,20321000,"['14', '12', '34', '31', '32']","[2, 0, 3, 0]","[3, 2, 0, 0]","[0, 2, 0, 3, 0]","[2.6363636363636367, -3.111111111111111, 3.0303030303030303, -2.5555555555555554]"
4,13,13,[],28,2,20358000,20435000,"['14', '12', '34', '13', '32']","[4, 0, 0, 0]","[0, 0, 4, 0]","[0, 0, 0, 4, 0]","[3.0, -3.111111111111111, 2.6666666666666665, -2.5555555555555554]"
1,31,31,[],28,11,20437000,20437000,"['14', '12', '34', '31', '32']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 1, 0]","[2.9259259259259256, -3.111111111111111, 2.7407407407407405, -2.5555555555555554]"
2,13,13,[],28,2,20490000,20491000,"['14', '12', '34', '13', '32']","[2, 0, 0, 0]","[0, 0, 2, 0]","[0, 0, 0, 2, 0]","[3.0689655172413794, -3.111111111111111, 2.5977011494252875, -2.5555555555555554]"
2,31,31,[],28,11,20496000,20499000,"['14', '12', '34', '31', '32']","[0, 0, 2, 0]","[2, 0, 0, 0]","[0, 0, 0, 2, 0]","[2.935483870967742, -3.111111111111111, 2.7311827956989245, -2.5555555555555554]"
1,13,13,[],28,2,20545000,20545000,"['14', '12', '34', '13', '32']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 1, 0]","[3.0, -3.111111111111111, 2.6666666666666665, -2.5555555555555554]"
2,31,31,[],28,11,20562000,20566000,"['14', '12', '34', '31', '32']","[0, 0, 2, 0]","[2, 0, 0, 0]","[0, 0, 0, 2, 0]","[2.882352941176471, -3.111111111111111, 2.7843137254901964, -2.5555555555555554]"
1,13,13,[],28,2,20630000,20630000,"['14', '12', '34', '13', '32']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 1, 0]","[2.942857142857143, -3.111111111111111, 2.723809523809524, -2.5555555555555554]"
3,31,31,[],28,11,20634000,20639000,"['14', '12', '34', '31', '32']","[0, 0, 3, 0]","[3, 0, 0, 0]","[0, 0, 0, 3, 0]","[2.789473684210526, -3.111111111111111, 2.877192982456141, -2.5555555555555554]"
10,13,13,[],28,2,20643000,24030000,"['14', '12', '34', '13', '32']","[9, 0, 1, 0]","[0, 4, 2, 4]","[3, 4, 1, 2, 0]","[2.9, -3.1, 2.8, -2.5999999999999996]"
3,23,23,[],29,2,24139000,24145000,"['14', '12', '34', '13', '23']","[0, 3, 0, 0]","[0, 0, 3, 0]","[0, 0, 0, 0, 3]","[2.9000000000000004, -0.7000000000000002, 1.0000000000000009, -3.2]"
1,32,32,[],28,2,24170000,24170000,"['14', '12', '34', '13', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 1]","[2.9, -1.1, 1.2999999999999998, -3.1]"
13,23,23,[],29,2,24172000,24443000,"['14', '12', '34', '13', '23']","[4, 9, 0, 0]","[0, 3, 10, 0]","[0, 3, 0, 1, 9]","[2.951219512195122, 0.10000000000000009, 0.3487804878048779, -3.4000000000000004]"
