Species,Group,X,Y
Chicken,1,-1942.919469175,1765.7341104623
Chicken,2,-1321.334423865,1179.3797245936
Chicken,3,-1738.5899935409,1630.1258956129
Chicken,4,-1850.4077012617,1706.3703406902
Chicken,5,-1721.6827331807,1540.7375220238
Chicken,6,-1502.9495454226,1325.1834888459
Chicken,7,-1827.4969206268,1700.4011473463
Chicken,8,-1704.3050660192,1609.6271623123
Chicken,9,-1848.3099523437,1769.1899663379
Chicken,10,-1796.342936152,1694.818357129
Chicken,11,-1665.3598551961,1548.3513236252
Chicken,12,-1784.632781443,1653.2535469111
Chicken,13,-1771.7082891018,1717.5650763355
Chicken,14,-1724.0492880338,1681.754172428
Fish,1,398.5768603444,-517.1966108369
Fish,2,-1075.8899750892,917.7598156864
Fish,3,1848.9809095022,-2023.6981325282
Fish,4,5218.6308662028,-5276.147578932
Fish,5,585.7039339056,-429.0875663373
Fish,6,4967.7030471418,-5379.4157408635
Fish,7,4478.3447056239,-4871.8565360876
Fish,8,-409.700916374,410.6165987029
Fish,9,2630.1381378804,-2321.6250183208
Fish,10,6921.4000108898,-5861.5518666571
Fish,11,1168.1533495909,-1225.5031481503
Fish,12,1957.0128359943,-1721.5911398448
Fish,13,2139.5957133432,-2249.0277211472
Fish,14,1434.5665125019,-1687.9272295412
Fish,15,4216.2834482584,-3356.3448373278
Fish,16,3831.0461227652,-3187.1970280234
Fish,17,8679.8795278358,-7179.1593615203
Mice,1,-1439.3653501753,1401.346674105
Mice,2,-2034.5435774765,1853.4668204032
Mice,3,-1858.516468851,1739.5454505154
Mice,4,-1452.2174844933,1351.2760579313
Mice,5,-1776.9264888892,1587.0684806885
Mice,6,-1533.9670294494,1422.0252515259
Mice,7,-1787.4559718458,1781.6061915634
Mice,8,-1908.9099430284,1817.7137030346
Mice,9,-1766.2736454491,1784.4119559161
Mice,10,-1858.5930979395,1715.6633047185
Mice,11,-1876.7789240664,1658.5837182743
Mice,12,-1629.7127131122,1592.451993401
Mice,13,-1975.8300123849,1891.6596454989
Mice,14,-1891.2454277937,1839.6420194989
