Species,Group,X,Y
Fish,1,-494.8941556,-205.206941
Fish,12,44.5851137,-13.725225
Fish,13,-21.3065689,51.66346
Fish,14,-332.8111485,-101.143179
Fish,15,423.0368603,351.74828
Fish,16,370.1471327,87.758769
Fish,17,577.6262582,119.041436
Fish,11,-219.7077459,-320.202752
Fish,10,985.5837197,304.545572
Fish,2,-856.4323718,330.381909
Fish,4,6.1179186,-17.960157
Fish,3,-73.7268719,5.532704
Fish,5,-126.3802946,-99.757087
Fish,6,391.6276876,-768.696237
Fish,7,-22.6434546,17.650165
Fish,8,-649.9413411,279.678355
Fish,9,-0.8807378,-21.30907
