Species,Group,X,Y
Fish,1,2106.6328322229,2552.0258316994
Fish,2,3572.3687744119,4003.3195796819
Fish,3,715.4589639906,994.5828367334
Fish,4,-2498.9203917973,-2405.8890269332
Fish,5,2203.9252101243,2367.0482028522
Fish,6,-2609.0773178885,-2152.8246941646
Fish,7,-2092.0091281071,-1674.0066129881
Fish,8,2944.0485703007,3449.9983221005
Fish,9,448.8469031399,198.5367047976
Fish,10,-3046.1453707891,-4131.7264249942
Fish,11,1476.8995464096,1713.0509622499
Fish,12,1020.4635751405,897.073274947
Fish,13,506.2154099725,691.2920683547
Fish,14,1030.6854810759,1425.0164411165
Fish,15,-573.3946160763,-1393.622105387
Fish,16,-394.344763666,-1019.0085210933
Fish,17,-4811.6536784645,-5514.8668389726
