Species,Group,X,Y
Mice,1,-317.1737493476,287.4179673579
Mice,2,145.3478810588,-286.397688667
Mice,3,97.2143188543,-62.0437574942
Mice,4,-289.6214955839,350.7608119378
Mice,5,-3.2614299202,71.0818957263
Mice,6,-234.1471591316,253.9204149192
Mice,7,-13.8300848993,-121.6438852832
Mice,8,125.2457147623,-156.9444947261
Mice,9,114.018781466,-3.1240833787
Mice,10,55.4298948286,-71.8837197203
Mice,11,69.9635139383,-21.0489412168
Mice,12,-65.7907968929,150.7853400762
Mice,13,208.9305146787,-218.5115379602
Mice,14,107.6740961885,-172.3683215708
