fips,county,state,val
45001,Abbeville,South Carolina,61
22001,Acadia,Louisiana,160
51001,Accomack,Virginia,58
16001,Ada,Idaho,33
19001,Adair,Iowa,14
21001,Adair,Kentucky,104
40001,Adair,Oklahoma,49
8001,Adams,Colorado,48
16003,Adams,Idaho,47
17001,Adams,Illinois,22
18001,Adams,Indiana,14
28001,Adams,Mississippi,134
31001,Adams,Nebraska,41
39001,Adams,Ohio,21
42001,Adams,Pennsylvania,26
53001,Adams,Washington,50
55001,Adams,Wisconsin,19
50001,Addison,Vermont,5
45003,Aiken,South Carolina,50
27001,Aitkin,Minnesota,6
12001,Alachua,Florida,26
37001,Alamance,North Carolina,39
6001,Alameda,California,26
8003,Alamosa,Colorado,53
36001,Albany,New York,44
56001,Albany,Wyoming,2
51003,Albemarle,Virginia,20
26001,Alcona,Michigan,19
28003,Alcorn,Mississippi,32
17003,Alexander,Illinois,16
37003,Alexander,North Carolina,24
19005,Allamakee,Iowa,57
26005,Allegan,Michigan,5
24001,Allegany,Maryland,32
36003,Allegany,New York,2
37005,Alleghany,North Carolina,8
51005,Alleghany,Virginia,26
42003,Allegheny,Pennsylvania,32
18003,Allen,Indiana,58
20001,Allen,Kansas,8
21003,Allen,Kentucky,42
22003,Allen,Louisiana,210
39003,Allen,Ohio,71
45005,Allendale,South Carolina,67
26007,Alpena,Michigan,49
6005,Amador,California,40
51007,Amelia,Virginia,46
51009,Amherst,Virginia,12
28005,Amite,Mississippi,105
2020,Anchorage,Alaska,14
21005,Anderson,Kentucky,4
45007,Anderson,South Carolina,96
47001,Anderson,Tennessee,16
48001,Anderson,Texas,65
29003,Andrew,Missouri,22
48003,Andrews,Texas,55
23001,Androscoggin,Maine,9
48005,Angelina,Texas,101
24003,Anne Arundel,Maryland,45
27003,Anoka,Minnesota,41
37007,Anson,North Carolina,32
31003,Antelope,Nebraska,15
4001,Apache,Arizona,233
19007,Appanoose,Iowa,24
13001,Appling,Georgia,189
51011,Appomattox,Virginia,31
48007,Aransas,Texas,75
8005,Arapahoe,Colorado,57
48009,Archer,Texas,11
26011,Arenac,Michigan,19
5001,Arkansas,Arkansas,61
51013,Arlington,Virginia,63
42005,Armstrong,Pennsylvania,29
48011,Armstrong,Texas,52
23003,Aroostook,Maine,1
22005,Ascension,Louisiana,78
37009,Ashe,North Carolina,3
39005,Ashland,Ohio,9
55003,Ashland,Wisconsin,19
5003,Ashley,Arkansas,59
39007,Ashtabula,Ohio,49
53003,Asotin,Washington,26
22007,Assumption,Louisiana,107
48013,Atascosa,Texas,69
20005,Atchison,Kansas,24
29005,Atchison,Missouri,19
39009,Athens,Ohio,3
13003,Atkinson,Georgia,60
34001,Atlantic,New Jersey,99
40005,Atoka,Oklahoma,7
28007,Attala,Mississippi,136
29007,Audrain,Missouri,27
19009,Audubon,Iowa,18
39011,Auglaize,Ohio,34
51015,Augusta,Virginia,10
48015,Austin,Texas,30
1001,Autauga,Alabama,50
22009,Avoyelles,Louisiana,153
13005,Bacon,Georgia,125
48017,Bailey,Texas,71
12003,Baker,Florida,59
13007,Baker,Georgia,194
41001,Baker,Oregon,12
1003,Baldwin,Alabama,30
13009,Baldwin,Georgia,140
21007,Ballard,Kentucky,12
24005,Baltimore,Maryland,78
24510,Baltimore City,Maryland,82
45009,Bamberg,South Carolina,245
48019,Bandera,Texas,35
13011,Banks,Georgia,42
16005,Bannock,Idaho,10
26013,Baraga,Michigan,48
1005,Barbour,Alabama,36
54001,Barbour,West Virginia,6
38003,Barnes,North Dakota,9
25001,Barnstable,Massachusetts,84
45011,Barnwell,South Carolina,99
21009,Barren,Kentucky,29
55005,Barron,Wisconsin,13
13013,Barrow,Georgia,61
26015,Barry,Michigan,8
29009,Barry,Missouri,19
18005,Bartholomew,Indiana,68
20009,Barton,Kansas,26
29011,Barton,Missouri,16
13015,Bartow,Georgia,86
48021,Bastrop,Texas,35
29013,Bates,Missouri,30
21011,Bath,Kentucky,8
5005,Baxter,Arkansas,16
12005,Bay,Florida,68
26017,Bay,Michigan,52
55007,Bayfield,Wisconsin,6
48023,Baylor,Texas,55
46005,Beadle,South Dakota,63
16007,Bear Lake,Idaho,16
37013,Beaufort,North Carolina,74
45013,Beaufort,South Carolina,47
22011,Beauregard,Louisiana,104
42007,Beaver,Pennsylvania,83
30001,Beaverhead,Montana,10
27005,Becker,Minnesota,8
40009,Beckham,Oklahoma,46
42009,Bedford,Pennsylvania,12
47003,Bedford,Tennessee,40
51019,Bedford,Virginia,20
48025,Bee,Texas,113
33001,Belknap,New Hampshire,8
21013,Bell,Kentucky,60
48027,Bell,Texas,26
39013,Belmont,Ohio,39
27007,Beltrami,Minnesota,14
13017,Ben Hill,Georgia,190
16009,Benewah,Idaho,32
46007,Bennett,South Dakota,144
50003,Bennington,Vermont,2
38005,Benson,North Dakota,114
5007,Benton,Arkansas,40
19011,Benton,Iowa,3
27009,Benton,Minnesota,12
28009,Benton,Mississippi,48
29015,Benton,Missouri,25
41003,Benton,Oregon,6
47005,Benton,Tennessee,55
53005,Benton,Washington,65
26019,Benzie,Michigan,11
34003,Bergen,New Jersey,218
45015,Berkeley,South Carolina,42
54003,Berkeley,West Virginia,14
42011,Berks,Pennsylvania,98
25003,Berkshire,Massachusetts,40
35001,Bernalillo,New Mexico,27
13019,Berrien,Georgia,62
26021,Berrien,Michigan,49
37015,Bertie,North Carolina,68
48029,Bexar,Texas,69
1007,Bibb,Alabama,58
13021,Bibb,Georgia,122
22013,Bienville,Louisiana,247
30003,Big Horn,Montana,247
56003,Big Horn,Wyoming,16
16011,Bingham,Idaho,25
19013,Black Hawk,Iowa,72
18009,Blackford,Indiana,25
37017,Bladen,North Carolina,57
16013,Blaine,Idaho,26
30005,Blaine,Montana,29
40011,Blaine,Oklahoma,10
42013,Blair,Pennsylvania,18
48031,Blanco,Texas,51
51021,Bland,Virginia,79
13023,Bleckley,Georgia,163
47007,Bledsoe,Tennessee,27
1009,Blount,Alabama,39
47009,Blount,Tennessee,23
27013,Blue Earth,Minnesota,10
16015,Boise,Idaho,26
28011,Bolivar,Mississippi,239
29017,Bollinger,Missouri,16
46009,Bon Homme,South Dakota,14
17005,Bond,Illinois,54
16017,Bonner,Idaho,2
16019,Bonneville,Idaho,18
5009,Boone,Arkansas,77
17007,Boone,Illinois,44
18011,Boone,Indiana,71
19015,Boone,Iowa,30
21015,Boone,Kentucky,19
29019,Boone,Missouri,7
54005,Boone,West Virginia,13
48035,Bosque,Texas,53
22015,Bossier,Louisiana,90
51023,Botetourt,Virginia,33
38009,Bottineau,North Dakota,249
8013,Boulder,Colorado,25
16021,Boundary,Idaho,8
20011,Bourbon,Kansas,20
21017,Bourbon,Kentucky,4
48037,Bowie,Texas,75
38011,Bowman,North Dakota,65
31013,Box Butte,Nebraska,9
21019,Boyd,Kentucky,38
21023,Bracken,Kentucky,12
12007,Bradford,Florida,43
42015,Bradford,Pennsylvania,11
5011,Bradley,Arkansas,73
47011,Bradley,Tennessee,19
26023,Branch,Michigan,22
13025,Brantley,Georgia,63
48039,Brazoria,Texas,48
48041,Brazos,Texas,28
21027,Breckinridge,Kentucky,9
19017,Bremer,Iowa,28
12009,Brevard,Florida,57
48043,Brewster,Texas,53
48045,Briscoe,Texas,65
25005,Bristol,Massachusetts,129
44001,Bristol,Rhode Island,34
36005,Bronx,New York,347
54009,Brooke,West Virginia,4
46011,Brookings,South Dakota,5
13027,Brooks,Georgia,167
48047,Brooks,Texas,323
36007,Broome,New York,43
8014,Broomfield,Colorado,56
12011,Broward,Florida,77
18013,Brown,Indiana,19
20013,Brown,Kansas,52
27015,Brown,Minnesota,11
39015,Brown,Ohio,6
46013,Brown,South Dakota,10
48049,Brown,Texas,68
55009,Brown,Wisconsin,31
46015,Brule,South Dakota,38
37019,Brunswick,North Carolina,24
51025,Brunswick,Virginia,30
13029,Bryan,Georgia,36
40013,Bryan,Oklahoma,23
19019,Buchanan,Iowa,14
29021,Buchanan,Missouri,38
51027,Buchanan,Virginia,9
51029,Buckingham,Virginia,52
42017,Bucks,Pennsylvania,99
19021,Buena Vista,Iowa,60
31019,Buffalo,Nebraska,12
46017,Buffalo,South Dakota,147
55011,Buffalo,Wisconsin,15
21029,Bullitt,Kentucky,17
13031,Bulloch,Georgia,42
1011,Bullock,Alabama,167
37021,Buncombe,North Carolina,36
17011,Bureau,Illinois,51
13033,Burke,Georgia,49
37023,Burke,North Carolina,50
38013,Burke,North Dakota,47
38015,Burleigh,North Dakota,73
48051,Burleson,Texas,32
34005,Burlington,New Jersey,113
48053,Burnet,Texas,25
55013,Burnett,Wisconsin,38
31021,Burt,Nebraska,15
1013,Butler,Alabama,203
19023,Butler,Iowa,13
20015,Butler,Kansas,4
21031,Butler,Kentucky,125
29023,Butler,Missouri,18
31023,Butler,Nebraska,12
39017,Butler,Ohio,31
42019,Butler,Pennsylvania,14
6007,Butte,California,21
46019,Butte,South Dakota,29
13035,Butts,Georgia,177
37025,Cabarrus,North Carolina,38
54011,Cabell,West Virginia,17
22017,Caddo,Louisiana,158
40015,Caddo,Oklahoma,82
6009,Calaveras,California,37
22019,Calcasieu,Louisiana,108
22021,Caldwell,Louisiana,30
29025,Caldwell,Missouri,10
37027,Caldwell,North Carolina,23
48055,Caldwell,Texas,85
1015,Calhoun,Alabama,51
12013,Calhoun,Florida,95
13037,Calhoun,Georgia,141
19025,Calhoun,Iowa,30
26025,Calhoun,Michigan,38
28013,Calhoun,Mississippi,83
45017,Calhoun,South Carolina,117
48057,Calhoun,Texas,41
48059,Callahan,Texas,28
29027,Callaway,Missouri,11
21035,Calloway,Kentucky,22
55015,Calumet,Wisconsin,19
24009,Calvert,Maryland,30
42021,Cambria,Pennsylvania,5
13039,Camden,Georgia,31
29029,Camden,Missouri,56
34007,Camden,New Jersey,121
37029,Camden,North Carolina,28
22023,Cameron,Louisiana,28
48061,Cameron,Texas,250
48063,Camp,Texas,99
21037,Campbell,Kentucky,17
47013,Campbell,Tennessee,17
51031,Campbell,Virginia,10
56005,Campbell,Wyoming,4
40017,Canadian,Oklahoma,14
13043,Candler,Georgia,221
47015,Cannon,Tennessee,13
16027,Canyon,Idaho,47
29031,Cape Girardeau,Missouri,57
34009,Cape May,New Jersey,106
42025,Carbon,Pennsylvania,45
56007,Carbon,Wyoming,13
16029,Caribou,Idaho,56
21039,Carlisle,Kentucky,20
27017,Carlton,Minnesota,2
24011,Caroline,Maryland,24
